Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
O	PRON	0	10	10	1	0	0	1	0	1	O que é uma fila e como enfileirar seu elemento ?
que	PRON	0	10	10	1	0	1	2	0	1	O que é uma fila e como enfileirar seu elemento ?
é	AUX	0	10	10	1	0	2	3	0	1	O que é uma fila e como enfileirar seu elemento ?
uma	DET	0	10	10	1	0	3	4	0	1	O que é uma fila e como enfileirar seu elemento ?
fila	NOUN	1	10	10	1	0	4	5	0	1	O que é uma fila e como enfileirar seu elemento ?
e	CCONJ	0	10	10	1	0	5	6	0	1	O que é uma fila e como enfileirar seu elemento ?
como	ADV	0	10	10	1	0	6	7	0	1	O que é uma fila e como enfileirar seu elemento ?
enfileirar	VERB	1	10	10	1	1	7	8	0	1	O que é uma fila e como enfileirar seu elemento ?
seu	DET	0	10	10	1	0	8	9	0	1	O que é uma fila e como enfileirar seu elemento ?
elemento	NOUN	0	10	10	1	0	9	10	0	1	O que é uma fila e como enfileirar seu elemento ?
?	PUNCT	0	10	10	1	0	10	11	0	1	O que é uma fila e como enfileirar seu elemento ?
O que é uma fila e como enfileirar seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	10	10	1	-1	-1		1	3	O que é uma fila e como enfileirar seu elemento ?
O	PRON	0	10_pert_0	10	0	0	0	13	0	0	O que é uma fila e como identificar seu elemento ?
que	PRON	0	10_pert_0	10	0	0	1	14	0	0	O que é uma fila e como identificar seu elemento ?
é	AUX	0	10_pert_0	10	0	0	2	15	0	0	O que é uma fila e como identificar seu elemento ?
uma	DET	0	10_pert_0	10	0	0	3	16	0	0	O que é uma fila e como identificar seu elemento ?
fila	NOUN	1	10_pert_0	10	0	0	4	17	0	0	O que é uma fila e como identificar seu elemento ?
e	CCONJ	0	10_pert_0	10	0	0	5	18	0	0	O que é uma fila e como identificar seu elemento ?
como	ADV	0	10_pert_0	10	0	0	6	19	0	0	O que é uma fila e como identificar seu elemento ?
identificar	VERB	0	10_pert_0	10	0	1	7	20	0	0	O que é uma fila e como identificar seu elemento ?
seu	DET	0	10_pert_0	10	0	0	8	21	0	0	O que é uma fila e como identificar seu elemento ?
elemento	NOUN	0	10_pert_0	10	0	0	9	22	0	0	O que é uma fila e como identificar seu elemento ?
?	PUNCT	0	10_pert_0	10	0	0	10	23	0	0	O que é uma fila e como identificar seu elemento ?
O que é uma fila e como identificar seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	10_pert_0	10	0	-1	-1		1	2	O que é uma fila e como identificar seu elemento ?
O	PRON	0	10_pert_1	10	0	0	0	25	0	0	O que é uma fila e como é seu elemento ?
que	PRON	0	10_pert_1	10	0	0	1	26	0	0	O que é uma fila e como é seu elemento ?
é	AUX	0	10_pert_1	10	0	0	2	27	0	0	O que é uma fila e como é seu elemento ?
uma	DET	0	10_pert_1	10	0	0	3	28	0	0	O que é uma fila e como é seu elemento ?
fila	NOUN	1	10_pert_1	10	0	0	4	29	0	0	O que é uma fila e como é seu elemento ?
e	CCONJ	0	10_pert_1	10	0	0	5	30	0	0	O que é uma fila e como é seu elemento ?
como	ADV	0	10_pert_1	10	0	0	6	31	0	0	O que é uma fila e como é seu elemento ?
é	AUX	0	10_pert_1	10	0	0	7	32	0	0	O que é uma fila e como é seu elemento ?
seu	DET	0	10_pert_1	10	0	0	8	33	0	0	O que é uma fila e como é seu elemento ?
elemento	NOUN	0	10_pert_1	10	0	0	9	34	0	0	O que é uma fila e como é seu elemento ?
?	PUNCT	0	10_pert_1	10	0	0	10	35	0	0	O que é uma fila e como é seu elemento ?
O que é uma fila e como é seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'AUX', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	10_pert_1	10	0	-1	-1		1	2	O que é uma fila e como é seu elemento ?
O	PRON	0	10_pert_2	10	0	0	0	37	0	0	O que é uma fila e como definir seu elemento ?
que	PRON	0	10_pert_2	10	0	0	1	38	0	0	O que é uma fila e como definir seu elemento ?
é	AUX	0	10_pert_2	10	0	0	2	39	0	0	O que é uma fila e como definir seu elemento ?
uma	DET	0	10_pert_2	10	0	0	3	40	0	0	O que é uma fila e como definir seu elemento ?
fila	NOUN	1	10_pert_2	10	0	0	4	41	0	0	O que é uma fila e como definir seu elemento ?
e	CCONJ	0	10_pert_2	10	0	0	5	42	0	0	O que é uma fila e como definir seu elemento ?
como	ADV	0	10_pert_2	10	0	0	6	43	0	0	O que é uma fila e como definir seu elemento ?
definir	VERB	0	10_pert_2	10	0	1	7	44	0	0	O que é uma fila e como definir seu elemento ?
seu	DET	0	10_pert_2	10	0	0	8	45	0	0	O que é uma fila e como definir seu elemento ?
elemento	NOUN	0	10_pert_2	10	0	0	9	46	0	0	O que é uma fila e como definir seu elemento ?
