Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentence
Where	SCONJ	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	0	1	Where was Christina Christian at when she was eliminated from the show ?
was	AUX	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	1	2	Where was Christina Christian at when she was eliminated from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	2	3	Where was Christina Christian at when she was eliminated from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	3	4	Where was Christina Christian at when she was eliminated from the show ?
at	ADP	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	4	5	Where was Christina Christian at when she was eliminated from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	5	6	Where was Christina Christian at when she was eliminated from the show ?
she	PRON	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	6	7	Where was Christina Christian at when she was eliminated from the show ?
was	AUX	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	7	8	Where was Christina Christian at when she was eliminated from the show ?
eliminated	VERB	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	1	8	9	Where was Christina Christian at when she was eliminated from the show ?
from	ADP	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	9	10	Where was Christina Christian at when she was eliminated from the show ?
the	DET	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	10	11	Where was Christina Christian at when she was eliminated from the show ?
show	NOUN	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	11	12	Where was Christina Christian at when she was eliminated from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	12		Where was Christina Christian at when she was eliminated from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	0	14	Where was Christina Christian at when she was fired from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	1	15	Where was Christina Christian at when she was fired from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	2	16	Where was Christina Christian at when she was fired from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	3	17	Where was Christina Christian at when she was fired from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	4	18	Where was Christina Christian at when she was fired from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	5	19	Where was Christina Christian at when she was fired from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	6	20	Where was Christina Christian at when she was fired from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	7	21	Where was Christina Christian at when she was fired from the show ?
fired	VERB	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	1	8	22	Where was Christina Christian at when she was fired from the show ?
from	ADP	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	9	23	Where was Christina Christian at when she was fired from the show ?
the	DET	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	10	24	Where was Christina Christian at when she was fired from the show ?
show	NOUN	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	11	25	Where was Christina Christian at when she was fired from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	12		Where was Christina Christian at when she was fired from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	0	27	Where was Christina Christian at when she was absent from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	1	28	Where was Christina Christian at when she was absent from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	2	29	Where was Christina Christian at when she was absent from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	3	30	Where was Christina Christian at when she was absent from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	4	31	Where was Christina Christian at when she was absent from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	5	32	Where was Christina Christian at when she was absent from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	6	33	Where was Christina Christian at when she was absent from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	7	34	Where was Christina Christian at when she was absent from the show ?
absent	ADJ	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	1	8	35	Where was Christina Christian at when she was absent from the show ?
from	ADP	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	9	36	Where was Christina Christian at when she was absent from the show ?
the	DET	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	10	37	Where was Christina Christian at when she was absent from the show ?
show	NOUN	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	11	38	Where was Christina Christian at when she was absent from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	12		Where was Christina Christian at when she was absent from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	0	40	Where was Christina Christian at when she was gone from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	1	41	Where was Christina Christian at when she was gone from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	2	42	Where was Christina Christian at when she was gone from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	3	43	Where was Christina Christian at when she was gone from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	4	44	Where was Christina Christian at when she was gone from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	5	45	Where was Christina Christian at when she was gone from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	6	46	Where was Christina Christian at when she was gone from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	7	47	Where was Christina Christian at when she was gone from the show ?
gone	VERB	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	1	8	48	Where was Christina Christian at when she was gone from the show ?
from	ADP	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	9	49	Where was Christina Christian at when she was gone from the show ?
the	DET	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	10	50	Where was Christina Christian at when she was gone from the show ?
show	NOUN	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	11	51	Where was Christina Christian at when she was gone from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	12		Where was Christina Christian at when she was gone from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	0	53	Where was Christina Christian at when she was away from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	1	54	Where was Christina Christian at when she was away from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	2	55	Where was Christina Christian at when she was away from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	3	56	Where was Christina Christian at when she was away from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	4	57	Where was Christina Christian at when she was away from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	5	58	Where was Christina Christian at when she was away from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	6	59	Where was Christina Christian at when she was away from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	7	60	Where was Christina Christian at when she was away from the show ?
away	ADV	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	1	8	61	Where was Christina Christian at when she was away from the show ?
from	ADP	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	9	62	Where was Christina Christian at when she was away from the show ?
the	DET	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	10	63	Where was Christina Christian at when she was away from the show ?
show	NOUN	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	11	64	Where was Christina Christian at when she was away from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	12		Where was Christina Christian at when she was away from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	0	66	Where was Christina Christian at when she was removed from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	1	67	Where was Christina Christian at when she was removed from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	2	68	Where was Christina Christian at when she was removed from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	3	69	Where was Christina Christian at when she was removed from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	4	70	Where was Christina Christian at when she was removed from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	5	71	Where was Christina Christian at when she was removed from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	6	72	Where was Christina Christian at when she was removed from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	7	73	Where was Christina Christian at when she was removed from the show ?
removed	VERB	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	1	8	74	Where was Christina Christian at when she was removed from the show ?
