Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentence
What	PRON	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	0	What was the nationality of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	1	What was the nationality of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	2	What was the nationality of Estêvão Gomes ?
nationality	NOUN	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	1	3	What was the nationality of Estêvão Gomes ?
of	ADP	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	4	What was the nationality of Estêvão Gomes ?
Estêvão	PROPN	1	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	5	What was the nationality of Estêvão Gomes ?
Gomes	PROPN	1	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	6	What was the nationality of Estêvão Gomes ?
?	PUNCT	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	7	What was the nationality of Estêvão Gomes ?
What	PRON	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	0	What was the name of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	1	What was the name of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	2	What was the name of Estêvão Gomes ?
name	NOUN	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	1	3	What was the name of Estêvão Gomes ?
of	ADP	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	4	What was the name of Estêvão Gomes ?
Estêvão	PROPN	1	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	5	What was the name of Estêvão Gomes ?
Gomes	PROPN	1	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	6	What was the name of Estêvão Gomes ?
?	PUNCT	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	7	What was the name of Estêvão Gomes ?
What	PRON	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	0	What was the story of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	1	What was the story of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	2	What was the story of Estêvão Gomes ?
story	NOUN	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	1	3	What was the story of Estêvão Gomes ?
of	ADP	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	4	What was the story of Estêvão Gomes ?
Estêvão	PROPN	1	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	5	What was the story of Estêvão Gomes ?
Gomes	PROPN	1	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	6	What was the story of Estêvão Gomes ?
?	PUNCT	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	7	What was the story of Estêvão Gomes ?
What	PRON	0	56ce34c7aab44d1400b88596_pert_2	56ce34c7aab44d1400b88596	0	0	0	What was the character of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596_pert_2	56ce34c7aab44d1400b88596	0	0	1	What was the character of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596_pert_2	56ce34c7aab44d1400b88596	0	0	2	What was the character of Estêvão Gomes ?
character	NOUN	0	56ce34c7aab44d1400b88596_pert_2	56ce34c7aab44d1400b88596	0	1	3	What was the character of Estêvão Gomes ?
of	ADP	0	56ce34c7aab44d1400b88596_pert_2	56ce34c7aab44d1400b88596	0	0	4	What was the character of Estêvão Gomes ?
Estêvão	PROPN	1	56ce34c7aab44d1400b88596_pert_2	56ce34c7aab44d1400b88596	0	0	5	What was the character of Estêvão Gomes ?
Gomes	PROPN	1	56ce34c7aab44d1400b88596_pert_2	56ce34c7aab44d1400b88596	0	0	6	What was the character of Estêvão Gomes ?
?	PUNCT	0	56ce34c7aab44d1400b88596_pert_2	56ce34c7aab44d1400b88596	0	0	7	What was the character of Estêvão Gomes ?
What	PRON	0	56ce34c7aab44d1400b88596_pert_3	56ce34c7aab44d1400b88596	0	0	0	What was the role of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596_pert_3	56ce34c7aab44d1400b88596	0	0	1	What was the role of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596_pert_3	56ce34c7aab44d1400b88596	0	0	2	What was the role of Estêvão Gomes ?
role	NOUN	0	56ce34c7aab44d1400b88596_pert_3	56ce34c7aab44d1400b88596	0	1	3	What was the role of Estêvão Gomes ?
of	ADP	0	56ce34c7aab44d1400b88596_pert_3	56ce34c7aab44d1400b88596	0	0	4	What was the role of Estêvão Gomes ?
Estêvão	PROPN	1	56ce34c7aab44d1400b88596_pert_3	56ce34c7aab44d1400b88596	0	0	5	What was the role of Estêvão Gomes ?
Gomes	PROPN	1	56ce34c7aab44d1400b88596_pert_3	56ce34c7aab44d1400b88596	0	0	6	What was the role of Estêvão Gomes ?
?	PUNCT	0	56ce34c7aab44d1400b88596_pert_3	56ce34c7aab44d1400b88596	0	0	7	What was the role of Estêvão Gomes ?
What	PRON	0	56ce34c7aab44d1400b88596_pert_4	56ce34c7aab44d1400b88596	0	0	0	What was the fate of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596_pert_4	56ce34c7aab44d1400b88596	0	0	1	What was the fate of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596_pert_4	56ce34c7aab44d1400b88596	0	0	2	What was the fate of Estêvão Gomes ?
fate	NOUN	0	56ce34c7aab44d1400b88596_pert_4	56ce34c7aab44d1400b88596	0	1	3	What was the fate of Estêvão Gomes ?
of	ADP	0	56ce34c7aab44d1400b88596_pert_4	56ce34c7aab44d1400b88596	0	0	4	What was the fate of Estêvão Gomes ?
Estêvão	PROPN	1	56ce34c7aab44d1400b88596_pert_4	56ce34c7aab44d1400b88596	0	0	5	What was the fate of Estêvão Gomes ?
Gomes	PROPN	1	56ce34c7aab44d1400b88596_pert_4	56ce34c7aab44d1400b88596	0	0	6	What was the fate of Estêvão Gomes ?
?	PUNCT	0	56ce34c7aab44d1400b88596_pert_4	56ce34c7aab44d1400b88596	0	0	7	What was the fate of Estêvão Gomes ?
