Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
How	SCONJ	0	2p0	2p0	1	0	0	0	1	How to dequeue elements in a stack ?
to	PART	0	2p0	2p0	1	0	1	0	1	How to dequeue elements in a stack ?
dequeue	VERB	1	2p0	2p0	1	1	2	0	1	How to dequeue elements in a stack ?
elements	NOUN	0	2p0	2p0	1	0	3	0	1	How to dequeue elements in a stack ?
in	ADP	0	2p0	2p0	1	0	4	0	1	How to dequeue elements in a stack ?
a	DET	0	2p0	2p0	1	0	5	0	1	How to dequeue elements in a stack ?
stack	NOUN	0	2p0	2p0	1	0	6	0	1	How to dequeue elements in a stack ?
?	PUNCT	0	2p0	2p0	1	0	7	0	1	How to dequeue elements in a stack ?
0	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 1, 0, 0, 0, 0, 0]	2p0	2p0	1	-1	-1	1	3	How to dequeue elements in a stack ?
How	SCONJ	0	2p0_pert_0	2p0	0	0	0	0	0	How to arrange elements in a stack ?
to	PART	0	2p0_pert_0	2p0	0	0	1	0	0	How to arrange elements in a stack ?
arrange	VERB	0	2p0_pert_0	2p0	0	1	2	0	0	How to arrange elements in a stack ?
elements	NOUN	0	2p0_pert_0	2p0	0	0	3	0	0	How to arrange elements in a stack ?
in	ADP	0	2p0_pert_0	2p0	0	0	4	0	0	How to arrange elements in a stack ?
a	DET	0	2p0_pert_0	2p0	0	0	5	0	0	How to arrange elements in a stack ?
stack	NOUN	0	2p0_pert_0	2p0	0	0	6	0	0	How to arrange elements in a stack ?
?	PUNCT	0	2p0_pert_0	2p0	0	0	7	0	0	How to arrange elements in a stack ?
1	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	2p0_pert_0	2p0	0	-1	-1	1	2	How to arrange elements in a stack ?
How	SCONJ	0	2p0_pert_1	2p0	0	0	0	0	0	How to organize elements in a stack ?
to	PART	0	2p0_pert_1	2p0	0	0	1	0	0	How to organize elements in a stack ?
organize	VERB	0	2p0_pert_1	2p0	0	1	2	0	0	How to organize elements in a stack ?
elements	NOUN	0	2p0_pert_1	2p0	0	0	3	0	0	How to organize elements in a stack ?
in	ADP	0	2p0_pert_1	2p0	0	0	4	0	0	How to organize elements in a stack ?
a	DET	0	2p0_pert_1	2p0	0	0	5	0	0	How to organize elements in a stack ?
stack	NOUN	0	2p0_pert_1	2p0	0	0	6	0	0	How to organize elements in a stack ?
?	PUNCT	0	2p0_pert_1	2p0	0	0	7	0	0	How to organize elements in a stack ?
2	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	2p0_pert_1	2p0	0	-1	-1	1	2	How to organize elements in a stack ?
How	SCONJ	0	2p0_pert_2	2p0	0	0	0	0	0	How to store elements in a stack ?
to	PART	0	2p0_pert_2	2p0	0	0	1	0	0	How to store elements in a stack ?
store	VERB	0	2p0_pert_2	2p0	0	1	2	0	0	How to store elements in a stack ?
elements	NOUN	0	2p0_pert_2	2p0	0	0	3	0	0	How to store elements in a stack ?
in	ADP	0	2p0_pert_2	2p0	0	0	4	0	0	How to store elements in a stack ?
a	DET	0	2p0_pert_2	2p0	0	0	5	0	0	How to store elements in a stack ?
stack	NOUN	0	2p0_pert_2	2p0	0	0	6	0	0	How to store elements in a stack ?
?	PUNCT	0	2p0_pert_2	2p0	0	0	7	0	0	How to store elements in a stack ?
3	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	2p0_pert_2	2p0	0	-1	-1	1	2	How to store elements in a stack ?
How	SCONJ	0	2p0_pert_3	2p0	0	0	0	0	0	How to put elements in a stack ?
to	PART	0	2p0_pert_3	2p0	0	0	1	0	0	How to put elements in a stack ?
put	VERB	0	2p0_pert_3	2p0	0	1	2	0	0	How to put elements in a stack ?
elements	NOUN	0	2p0_pert_3	2p0	0	0	3	0	0	How to put elements in a stack ?
in	ADP	0	2p0_pert_3	2p0	0	0	4	0	0	How to put elements in a stack ?
a	DET	0	2p0_pert_3	2p0	0	0	5	0	0	How to put elements in a stack ?
stack	NOUN	0	2p0_pert_3	2p0	0	0	6	0	0	How to put elements in a stack ?
