Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
Que	DET	0	57101890b654c5140001f7d6	57101890b654c5140001f7d6	1	0	0	1	0	1	Que perguntas correspondem às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6	57101890b654c5140001f7d6	1	0	1	2	0	1	Que perguntas correspondem às homossexuais ?
correspondem	VERB	0	57101890b654c5140001f7d6	57101890b654c5140001f7d6	1	1	2	3	0	1	Que perguntas correspondem às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6	57101890b654c5140001f7d6	1	0	3	4	0	1	Que perguntas correspondem às homossexuais ?
homossexuais	NOUN	0	57101890b654c5140001f7d6	57101890b654c5140001f7d6	1	0	4	5	0	1	Que perguntas correspondem às homossexuais ?
?	PUNCT	0	57101890b654c5140001f7d6	57101890b654c5140001f7d6	1	0	5	6	0	1	Que perguntas correspondem às homossexuais ?
Que perguntas correspondem às homossexuais ?	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	57101890b654c5140001f7d6	57101890b654c5140001f7d6	1	-1	-1		1	3	Que perguntas correspondem às homossexuais ?
Que	DET	0	57101890b654c5140001f7d6_pert_0	57101890b654c5140001f7d6	0	0	0	8	0	0	Que perguntas fazem às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6_pert_0	57101890b654c5140001f7d6	0	0	1	9	0	0	Que perguntas fazem às homossexuais ?
fazem	VERB	0	57101890b654c5140001f7d6_pert_0	57101890b654c5140001f7d6	0	1	2	10	0	0	Que perguntas fazem às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6_pert_0	57101890b654c5140001f7d6	0	0	3	11	0	0	Que perguntas fazem às homossexuais ?
homossexuais	NOUN	0	57101890b654c5140001f7d6_pert_0	57101890b654c5140001f7d6	0	0	4	12	0	0	Que perguntas fazem às homossexuais ?
?	PUNCT	0	57101890b654c5140001f7d6_pert_0	57101890b654c5140001f7d6	0	0	5	13	0	0	Que perguntas fazem às homossexuais ?
Que perguntas fazem às homossexuais ?	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	57101890b654c5140001f7d6_pert_0	57101890b654c5140001f7d6	0	-1	-1		1	2	Que perguntas fazem às homossexuais ?
Que	DET	0	57101890b654c5140001f7d6_pert_1	57101890b654c5140001f7d6	0	0	0	15	0	0	Que perguntas fazer às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6_pert_1	57101890b654c5140001f7d6	0	0	1	16	0	0	Que perguntas fazer às homossexuais ?
fazer	VERB	0	57101890b654c5140001f7d6_pert_1	57101890b654c5140001f7d6	0	1	2	17	0	0	Que perguntas fazer às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6_pert_1	57101890b654c5140001f7d6	0	0	3	18	0	0	Que perguntas fazer às homossexuais ?
homossexuais	NOUN	0	57101890b654c5140001f7d6_pert_1	57101890b654c5140001f7d6	0	0	4	19	0	0	Que perguntas fazer às homossexuais ?
?	PUNCT	0	57101890b654c5140001f7d6_pert_1	57101890b654c5140001f7d6	0	0	5	20	0	0	Que perguntas fazer às homossexuais ?
Que perguntas fazer às homossexuais ?	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	57101890b654c5140001f7d6_pert_1	57101890b654c5140001f7d6	0	-1	-1		1	2	Que perguntas fazer às homossexuais ?
Que	DET	0	57101890b654c5140001f7d6_pert_2	57101890b654c5140001f7d6	0	0	0	22	0	0	Que perguntas faz às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6_pert_2	57101890b654c5140001f7d6	0	0	1	23	0	0	Que perguntas faz às homossexuais ?
faz	VERB	0	57101890b654c5140001f7d6_pert_2	57101890b654c5140001f7d6	0	1	2	24	0	0	Que perguntas faz às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6_pert_2	57101890b654c5140001f7d6	0	0	3	25	0	0	Que perguntas faz às homossexuais ?
homossexuais	NOUN	0	57101890b654c5140001f7d6_pert_2	57101890b654c5140001f7d6	0	0	4	26	0	0	Que perguntas faz às homossexuais ?
?	PUNCT	0	57101890b654c5140001f7d6_pert_2	57101890b654c5140001f7d6	0	0	5	27	0	0	Que perguntas faz às homossexuais ?
Que perguntas faz às homossexuais ?	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	57101890b654c5140001f7d6_pert_2	57101890b654c5140001f7d6	0	-1	-1		1	2	Que perguntas faz às homossexuais ?
Que	DET	0	57101890b654c5140001f7d6_pert_3	57101890b654c5140001f7d6	0	0	0	29	0	0	Que perguntas fizeram às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6_pert_3	57101890b654c5140001f7d6	0	0	1	30	0	0	Que perguntas fizeram às homossexuais ?
fizeram	VERB	0	57101890b654c5140001f7d6_pert_3	57101890b654c5140001f7d6	0	1	2	31	0	0	Que perguntas fizeram às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6_pert_3	57101890b654c5140001f7d6	0	0	3	32	0	0	Que perguntas fizeram às homossexuais ?
homossexuais	NOUN	0	57101890b654c5140001f7d6_pert_3	57101890b654c5140001f7d6	0	0	4	33	0	0	Que perguntas fizeram às homossexuais ?
?	PUNCT	0	57101890b654c5140001f7d6_pert_3	57101890b654c5140001f7d6	0	0	5	34	0	0	Que perguntas fizeram às homossexuais ?
Que perguntas fizeram às homossexuais ?	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	57101890b654c5140001f7d6_pert_3	57101890b654c5140001f7d6	0	-1	-1		1	2	Que perguntas fizeram às homossexuais ?
Que	DET	0	57101890b654c5140001f7d6_pert_4	57101890b654c5140001f7d6	0	0	0	36	0	0	Que perguntas faria às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6_pert_4	57101890b654c5140001f7d6	0	0	1	37	0	0	Que perguntas faria às homossexuais ?
faria	VERB	0	57101890b654c5140001f7d6_pert_4	57101890b654c5140001f7d6	0	1	2	38	0	0	Que perguntas faria às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6_pert_4	57101890b654c5140001f7d6	0	0	3	39	0	0	Que perguntas faria às homossexuais ?
homossexuais	NOUN	0	57101890b654c5140001f7d6_pert_4	57101890b654c5140001f7d6	0	0	4	40	0	0	Que perguntas faria às homossexuais ?
?	PUNCT	0	57101890b654c5140001f7d6_pert_4	57101890b654c5140001f7d6	0	0	5	41	0	0	Que perguntas faria às homossexuais ?
Que perguntas faria às homossexuais ?	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	57101890b654c5140001f7d6_pert_4	57101890b654c5140001f7d6	0	-1	-1		1	2	Que perguntas faria às homossexuais ?
Que	DET	0	57101890b654c5140001f7d6_pert_5	57101890b654c5140001f7d6	0	0	0	43	0	0	Que perguntas faziam às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6_pert_5	57101890b654c5140001f7d6	0	0	1	44	0	0	Que perguntas faziam às homossexuais ?
faziam	VERB	0	57101890b654c5140001f7d6_pert_5	57101890b654c5140001f7d6	0	1	2	45	0	0	Que perguntas faziam às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6_pert_5	57101890b654c5140001f7d6	0	0	3	46	0	0	Que perguntas faziam às homossexuais ?
homossexuais	NOUN	0	57101890b654c5140001f7d6_pert_5	57101890b654c5140001f7d6	0	0	4	47	0	0	Que perguntas faziam às homossexuais ?
?	PUNCT	0	57101890b654c5140001f7d6_pert_5	57101890b654c5140001f7d6	0	0	5	48	0	0	Que perguntas faziam às homossexuais ?
Que perguntas faziam às homossexuais ?	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	57101890b654c5140001f7d6_pert_5	57101890b654c5140001f7d6	0	-1	-1		1	2	Que perguntas faziam às homossexuais ?
Que	DET	0	57101890b654c5140001f7d6_pert_6	57101890b654c5140001f7d6	0	0	0	50	0	0	Que perguntas fez às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6_pert_6	57101890b654c5140001f7d6	0	0	1	51	0	0	Que perguntas fez às homossexuais ?
fez	VERB	0	57101890b654c5140001f7d6_pert_6	57101890b654c5140001f7d6	0	1	2	52	0	0	Que perguntas fez às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6_pert_6	57101890b654c5140001f7d6	0	0	3	53	0	0	Que perguntas fez às homossexuais ?
homossexuais	NOUN	0	57101890b654c5140001f7d6_pert_6	57101890b654c5140001f7d6	0	0	4	54	0	0	Que perguntas fez às homossexuais ?
?	PUNCT	0	57101890b654c5140001f7d6_pert_6	57101890b654c5140001f7d6	0	0	5	55	0	0	Que perguntas fez às homossexuais ?
Que perguntas fez às homossexuais ?	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	57101890b654c5140001f7d6_pert_6	57101890b654c5140001f7d6	0	-1	-1		1	2	Que perguntas fez às homossexuais ?
Que	DET	0	57101890b654c5140001f7d6_pert_7	57101890b654c5140001f7d6	0	0	0	57	0	0	Que perguntas feitas às homossexuais ?
perguntas	NOUN	0	57101890b654c5140001f7d6_pert_7	57101890b654c5140001f7d6	0	0	1	58	0	0	Que perguntas feitas às homossexuais ?
feitas	VERB	0	57101890b654c5140001f7d6_pert_7	57101890b654c5140001f7d6	0	1	2	59	0	0	Que perguntas feitas às homossexuais ?
às	ADP	0	57101890b654c5140001f7d6_pert_7	57101890b654c5140001f7d6	0	0	3	60	0	0	Que perguntas feitas às homossexuais ?
