Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
Como	ADV	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	0	0	1	0	1	Como pode ser definido um sistema de informação ?
pode	VERB	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	1	1	2	0	1	Como pode ser definido um sistema de informação ?
ser	AUX	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	0	2	3	0	1	Como pode ser definido um sistema de informação ?
definido	VERB	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	0	3	4	0	1	Como pode ser definido um sistema de informação ?
um	DET	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	0	4	5	0	1	Como pode ser definido um sistema de informação ?
sistema	NOUN	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	0	5	6	0	1	Como pode ser definido um sistema de informação ?
de	ADP	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	0	6	7	0	1	Como pode ser definido um sistema de informação ?
informação	NOUN	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	0	7	8	0	1	Como pode ser definido um sistema de informação ?
?	PUNCT	0	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	0	8	9	0	1	Como pode ser definido um sistema de informação ?
Como pode ser definido um sistema de informação ?	['ADV', 'VERB', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	-1	-1		1	3	Como pode ser definido um sistema de informação ?
Como	ADV	0	4918ff59e83343b88c1fd3a204f55a3b_pert_0	4918ff59e83343b88c1fd3a204f55a3b	0	0	0	11	0	0	Como pode ser definido um sistema de informação ?
pode	VERB	0	4918ff59e83343b88c1fd3a204f55a3b_pert_0	4918ff59e83343b88c1fd3a204f55a3b	0	1	1	12	0	0	Como pode ser definido um sistema de informação ?
