Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
What	PRON	0	15	15	1	0	0	0	1	What is a stack and how to push and pop its elements ?
is	AUX	0	15	15	1	0	1	0	1	What is a stack and how to push and pop its elements ?
a	DET	0	15	15	1	0	2	0	1	What is a stack and how to push and pop its elements ?
stack	NOUN	0	15	15	1	0	3	0	1	What is a stack and how to push and pop its elements ?
and	CCONJ	0	15	15	1	0	4	0	1	What is a stack and how to push and pop its elements ?
how	SCONJ	0	15	15	1	0	5	0	1	What is a stack and how to push and pop its elements ?
to	PART	0	15	15	1	0	6	0	1	What is a stack and how to push and pop its elements ?
push	VERB	0	15	15	1	0	7	0	1	What is a stack and how to push and pop its elements ?
and	CCONJ	0	15	15	1	0	8	0	1	What is a stack and how to push and pop its elements ?
pop	VERB	0	15	15	1	1	9	0	1	What is a stack and how to push and pop its elements ?
its	PRON	0	15	15	1	0	10	0	1	What is a stack and how to push and pop its elements ?
elements	NOUN	0	15	15	1	0	11	0	1	What is a stack and how to push and pop its elements ?
?	PUNCT	0	15	15	1	0	12	0	1	What is a stack and how to push and pop its elements ?
0	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'CCONJ', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	15	15	1	-1	-1	1	3	What is a stack and how to push and pop its elements ?
What	PRON	0	15_pert_0	15	0	0	0	0	0	What is a stack and how to push and pull its elements ?
is	AUX	0	15_pert_0	15	0	0	1	0	0	What is a stack and how to push and pull its elements ?
a	DET	0	15_pert_0	15	0	0	2	0	0	What is a stack and how to push and pull its elements ?
stack	NOUN	0	15_pert_0	15	0	0	3	0	0	What is a stack and how to push and pull its elements ?
and	CCONJ	0	15_pert_0	15	0	0	4	0	0	What is a stack and how to push and pull its elements ?
how	SCONJ	0	15_pert_0	15	0	0	5	0	0	What is a stack and how to push and pull its elements ?
to	PART	0	15_pert_0	15	0	0	6	0	0	What is a stack and how to push and pull its elements ?
push	VERB	0	15_pert_0	15	0	0	7	0	0	What is a stack and how to push and pull its elements ?
and	CCONJ	0	15_pert_0	15	0	0	8	0	0	What is a stack and how to push and pull its elements ?
pull	VERB	0	15_pert_0	15	0	1	9	0	0	What is a stack and how to push and pull its elements ?
its	PRON	0	15_pert_0	15	0	0	10	0	0	What is a stack and how to push and pull its elements ?
elements	NOUN	0	15_pert_0	15	0	0	11	0	0	What is a stack and how to push and pull its elements ?
?	PUNCT	0	15_pert_0	15	0	0	12	0	0	What is a stack and how to push and pull its elements ?
1	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'CCONJ', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	15_pert_0	15	0	-1	-1	1	2	What is a stack and how to push and pull its elements ?
What	PRON	0	15_pert_1	15	0	0	0	0	0	What is a stack and how to push and hold its elements ?
is	AUX	0	15_pert_1	15	0	0	1	0	0	What is a stack and how to push and hold its elements ?
a	DET	0	15_pert_1	15	0	0	2	0	0	What is a stack and how to push and hold its elements ?
stack	NOUN	0	15_pert_1	15	0	0	3	0	0	What is a stack and how to push and hold its elements ?
and	CCONJ	0	15_pert_1	15	0	0	4	0	0	What is a stack and how to push and hold its elements ?
how	SCONJ	0	15_pert_1	15	0	0	5	0	0	What is a stack and how to push and hold its elements ?
to	PART	0	15_pert_1	15	0	0	6	0	0	What is a stack and how to push and hold its elements ?
push	VERB	0	15_pert_1	15	0	0	7	0	0	What is a stack and how to push and hold its elements ?
and	CCONJ	0	15_pert_1	15	0	0	8	0	0	What is a stack and how to push and hold its elements ?
hold	VERB	0	15_pert_1	15	0	1	9	0	0	What is a stack and how to push and hold its elements ?
its	PRON	0	15_pert_1	15	0	0	10	0	0	What is a stack and how to push and hold its elements ?
elements	NOUN	0	15_pert_1	15	0	0	11	0	0	What is a stack and how to push and hold its elements ?
