Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
How	SCONJ	0	5p0	5p0	1	0	0	How to push elements in a queue data structure ?
to	PART	0	5p0	5p0	1	0	1	How to push elements in a queue data structure ?
push	VERB	0	5p0	5p0	1	1	2	How to push elements in a queue data structure ?
elements	NOUN	0	5p0	5p0	1	0	3	How to push elements in a queue data structure ?
in	ADP	0	5p0	5p0	1	0	4	How to push elements in a queue data structure ?
a	DET	0	5p0	5p0	1	0	5	How to push elements in a queue data structure ?
queue	NOUN	1	5p0	5p0	1	0	6	How to push elements in a queue data structure ?
data	NOUN	0	5p0	5p0	1	0	7	How to push elements in a queue data structure ?
structure	NOUN	0	5p0	5p0	1	0	8	How to push elements in a queue data structure ?
?	PUNCT	0	5p0	5p0	1	0	9	How to push elements in a queue data structure ?
How	SCONJ	0	5p0_pert_0	5p0	0	0	0	How to manage elements in a queue data structure ?
to	PART	0	5p0_pert_0	5p0	0	0	1	How to manage elements in a queue data structure ?
manage	VERB	0	5p0_pert_0	5p0	0	1	2	How to manage elements in a queue data structure ?
elements	NOUN	0	5p0_pert_0	5p0	0	0	3	How to manage elements in a queue data structure ?
in	ADP	0	5p0_pert_0	5p0	0	0	4	How to manage elements in a queue data structure ?
a	DET	0	5p0_pert_0	5p0	0	0	5	How to manage elements in a queue data structure ?
queue	NOUN	1	5p0_pert_0	5p0	0	0	6	How to manage elements in a queue data structure ?
data	NOUN	0	5p0_pert_0	5p0	0	0	7	How to manage elements in a queue data structure ?
structure	NOUN	0	5p0_pert_0	5p0	0	0	8	How to manage elements in a queue data structure ?
?	PUNCT	0	5p0_pert_0	5p0	0	0	9	How to manage elements in a queue data structure ?
How	SCONJ	0	5p0_pert_1	5p0	0	0	0	How to organize elements in a queue data structure ?
to	PART	0	5p0_pert_1	5p0	0	0	1	How to organize elements in a queue data structure ?
organize	VERB	0	5p0_pert_1	5p0	0	1	2	How to organize elements in a queue data structure ?
elements	NOUN	0	5p0_pert_1	5p0	0	0	3	How to organize elements in a queue data structure ?
in	ADP	0	5p0_pert_1	5p0	0	0	4	How to organize elements in a queue data structure ?
a	DET	0	5p0_pert_1	5p0	0	0	5	How to organize elements in a queue data structure ?
queue	NOUN	1	5p0_pert_1	5p0	0	0	6	How to organize elements in a queue data structure ?
data	NOUN	0	5p0_pert_1	5p0	0	0	7	How to organize elements in a queue data structure ?
structure	NOUN	0	5p0_pert_1	5p0	0	0	8	How to organize elements in a queue data structure ?
?	PUNCT	0	5p0_pert_1	5p0	0	0	9	How to organize elements in a queue data structure ?
How	SCONJ	0	5p0_pert_2	5p0	0	0	0	How to store elements in a queue data structure ?
to	PART	0	5p0_pert_2	5p0	0	0	1	How to store elements in a queue data structure ?
store	VERB	0	5p0_pert_2	5p0	0	1	2	How to store elements in a queue data structure ?
elements	NOUN	0	5p0_pert_2	5p0	0	0	3	How to store elements in a queue data structure ?
in	ADP	0	5p0_pert_2	5p0	0	0	4	How to store elements in a queue data structure ?
a	DET	0	5p0_pert_2	5p0	0	0	5	How to store elements in a queue data structure ?
queue	NOUN	1	5p0_pert_2	5p0	0	0	6	How to store elements in a queue data structure ?
data	NOUN	0	5p0_pert_2	5p0	0	0	7	How to store elements in a queue data structure ?
structure	NOUN	0	5p0_pert_2	5p0	0	0	8	How to store elements in a queue data structure ?
?	PUNCT	0	5p0_pert_2	5p0	0	0	9	How to store elements in a queue data structure ?
How	SCONJ	0	5p0_pert_3	5p0	0	0	0	How to represent elements in a queue data structure ?
to	PART	0	5p0_pert_3	5p0	0	0	1	How to represent elements in a queue data structure ?
represent	VERB	0	5p0_pert_3	5p0	0	1	2	How to represent elements in a queue data structure ?
elements	NOUN	0	5p0_pert_3	5p0	0	0	3	How to represent elements in a queue data structure ?
in	ADP	0	5p0_pert_3	5p0	0	0	4	How to represent elements in a queue data structure ?
a	DET	0	5p0_pert_3	5p0	0	0	5	How to represent elements in a queue data structure ?
queue	NOUN	1	5p0_pert_3	5p0	0	0	6	How to represent elements in a queue data structure ?
data	NOUN	0	5p0_pert_3	5p0	0	0	7	How to represent elements in a queue data structure ?
structure	NOUN	0	5p0_pert_3	5p0	0	0	8	How to represent elements in a queue data structure ?
?	PUNCT	0	5p0_pert_3	5p0	0	0	9	How to represent elements in a queue data structure ?
How	SCONJ	0	5p0_pert_4	5p0	0	0	0	How to handle elements in a queue data structure ?
to	PART	0	5p0_pert_4	5p0	0	0	1	How to handle elements in a queue data structure ?
handle	VERB	0	5p0_pert_4	5p0	0	1	2	How to handle elements in a queue data structure ?
elements	NOUN	0	5p0_pert_4	5p0	0	0	3	How to handle elements in a queue data structure ?
in	ADP	0	5p0_pert_4	5p0	0	0	4	How to handle elements in a queue data structure ?
a	DET	0	5p0_pert_4	5p0	0	0	5	How to handle elements in a queue data structure ?
queue	NOUN	1	5p0_pert_4	5p0	0	0	6	How to handle elements in a queue data structure ?
data	NOUN	0	5p0_pert_4	5p0	0	0	7	How to handle elements in a queue data structure ?
structure	NOUN	0	5p0_pert_4	5p0	0	0	8	How to handle elements in a queue data structure ?
?	PUNCT	0	5p0_pert_4	5p0	0	0	9	How to handle elements in a queue data structure ?
How	SCONJ	0	5p0_pert_5	5p0	0	0	0	How to define elements in a queue data structure ?
to	PART	0	5p0_pert_5	5p0	0	0	1	How to define elements in a queue data structure ?
define	VERB	0	5p0_pert_5	5p0	0	1	2	How to define elements in a queue data structure ?
elements	NOUN	0	5p0_pert_5	5p0	0	0	3	How to define elements in a queue data structure ?
in	ADP	0	5p0_pert_5	5p0	0	0	4	How to define elements in a queue data structure ?
a	DET	0	5p0_pert_5	5p0	0	0	5	How to define elements in a queue data structure ?
queue	NOUN	1	5p0_pert_5	5p0	0	0	6	How to define elements in a queue data structure ?
data	NOUN	0	5p0_pert_5	5p0	0	0	7	How to define elements in a queue data structure ?
structure	NOUN	0	5p0_pert_5	5p0	0	0	8	How to define elements in a queue data structure ?
?	PUNCT	0	5p0_pert_5	5p0	0	0	9	How to define elements in a queue data structure ?
How	SCONJ	0	5p0_pert_6	5p0	0	0	0	How to use elements in a queue data structure ?
to	PART	0	5p0_pert_6	5p0	0	0	1	How to use elements in a queue data structure ?
use	VERB	0	5p0_pert_6	5p0	0	1	2	How to use elements in a queue data structure ?
elements	NOUN	0	5p0_pert_6	5p0	0	0	3	How to use elements in a queue data structure ?
in	ADP	0	5p0_pert_6	5p0	0	0	4	How to use elements in a queue data structure ?
a	DET	0	5p0_pert_6	5p0	0	0	5	How to use elements in a queue data structure ?
queue	NOUN	1	5p0_pert_6	5p0	0	0	6	How to use elements in a queue data structure ?
data	NOUN	0	5p0_pert_6	5p0	0	0	7	How to use elements in a queue data structure ?
structure	NOUN	0	5p0_pert_6	5p0	0	0	8	How to use elements in a queue data structure ?
?	PUNCT	0	5p0_pert_6	5p0	0	0	9	How to use elements in a queue data structure ?
How	SCONJ	0	5p0_pert_7	5p0	0	0	0	How to arrange elements in a queue data structure ?
to	PART	0	5p0_pert_7	5p0	0	0	1	How to arrange elements in a queue data structure ?
arrange	VERB	0	5p0_pert_7	5p0	0	1	2	How to arrange elements in a queue data structure ?
elements	NOUN	0	5p0_pert_7	5p0	0	0	3	How to arrange elements in a queue data structure ?
in	ADP	0	5p0_pert_7	5p0	0	0	4	How to arrange elements in a queue data structure ?
a	DET	0	5p0_pert_7	5p0	0	0	5	How to arrange elements in a queue data structure ?
queue	NOUN	1	5p0_pert_7	5p0	0	0	6	How to arrange elements in a queue data structure ?
data	NOUN	0	5p0_pert_7	5p0	0	0	7	How to arrange elements in a queue data structure ?
structure	NOUN	0	5p0_pert_7	5p0	0	0	8	How to arrange elements in a queue data structure ?
?	PUNCT	0	5p0_pert_7	5p0	0	0	9	How to arrange elements in a queue data structure ?
How	SCONJ	0	5p0_pert_8	5p0	0	0	0	How to manipulate elements in a queue data structure ?
to	PART	0	5p0_pert_8	5p0	0	0	1	How to manipulate elements in a queue data structure ?
manipulate	VERB	0	5p0_pert_8	5p0	0	1	2	How to manipulate elements in a queue data structure ?
elements	NOUN	0	5p0_pert_8	5p0	0	0	3	How to manipulate elements in a queue data structure ?
in	ADP	0	5p0_pert_8	5p0	0	0	4	How to manipulate elements in a queue data structure ?
a	DET	0	5p0_pert_8	5p0	0	0	5	How to manipulate elements in a queue data structure ?
queue	NOUN	1	5p0_pert_8	5p0	0	0	6	How to manipulate elements in a queue data structure ?
data	NOUN	0	5p0_pert_8	5p0	0	0	7	How to manipulate elements in a queue data structure ?
structure	NOUN	0	5p0_pert_8	5p0	0	0	8	How to manipulate elements in a queue data structure ?
?	PUNCT	0	5p0_pert_8	5p0	0	0	9	How to manipulate elements in a queue data structure ?
How	SCONJ	0	5p0_pert_9	5p0	0	0	0	How to sort elements in a queue data structure ?
to	PART	0	5p0_pert_9	5p0	0	0	1	How to sort elements in a queue data structure ?
sort	VERB	0	5p0_pert_9	5p0	0	1	2	How to sort elements in a queue data structure ?
elements	NOUN	0	5p0_pert_9	5p0	0	0	3	How to sort elements in a queue data structure ?
in	ADP	0	5p0_pert_9	5p0	0	0	4	How to sort elements in a queue data structure ?
a	DET	0	5p0_pert_9	5p0	0	0	5	How to sort elements in a queue data structure ?
queue	NOUN	1	5p0_pert_9	5p0	0	0	6	How to sort elements in a queue data structure ?
data	NOUN	0	5p0_pert_9	5p0	0	0	7	How to sort elements in a queue data structure ?
structure	NOUN	0	5p0_pert_9	5p0	0	0	8	How to sort elements in a queue data structure ?
?	PUNCT	0	5p0_pert_9	5p0	0	0	9	How to sort elements in a queue data structure ?
How	SCONJ	0	5p0_pert_10	5p0	0	0	0	How to describe elements in a queue data structure ?
to	PART	0	5p0_pert_10	5p0	0	0	1	How to describe elements in a queue data structure ?
describe	VERB	0	5p0_pert_10	5p0	0	1	2	How to describe elements in a queue data structure ?
elements	NOUN	0	5p0_pert_10	5p0	0	0	3	How to describe elements in a queue data structure ?
in	ADP	0	5p0_pert_10	5p0	0	0	4	How to describe elements in a queue data structure ?
a	DET	0	5p0_pert_10	5p0	0	0	5	How to describe elements in a queue data structure ?
queue	NOUN	1	5p0_pert_10	5p0	0	0	6	How to describe elements in a queue data structure ?
data	NOUN	0	5p0_pert_10	5p0	0	0	7	How to describe elements in a queue data structure ?
structure	NOUN	0	5p0_pert_10	5p0	0	0	8	How to describe elements in a queue data structure ?
?	PUNCT	0	5p0_pert_10	5p0	0	0	9	How to describe elements in a queue data structure ?
How	SCONJ	0	5p0_pert_11	5p0	0	0	0	How to separate elements in a queue data structure ?
to	PART	0	5p0_pert_11	5p0	0	0	1	How to separate elements in a queue data structure ?
separate	VERB	0	5p0_pert_11	5p0	0	1	2	How to separate elements in a queue data structure ?
elements	NOUN	0	5p0_pert_11	5p0	0	0	3	How to separate elements in a queue data structure ?
in	ADP	0	5p0_pert_11	5p0	0	0	4	How to separate elements in a queue data structure ?
a	DET	0	5p0_pert_11	5p0	0	0	5	How to separate elements in a queue data structure ?
queue	NOUN	1	5p0_pert_11	5p0	0	0	6	How to separate elements in a queue data structure ?
data	NOUN	0	5p0_pert_11	5p0	0	0	7	How to separate elements in a queue data structure ?
structure	NOUN	0	5p0_pert_11	5p0	0	0	8	How to separate elements in a queue data structure ?
?	PUNCT	0	5p0_pert_11	5p0	0	0	9	How to separate elements in a queue data structure ?
How	SCONJ	0	5p0_pert_12	5p0	0	0	0	How to place elements in a queue data structure ?
to	PART	0	5p0_pert_12	5p0	0	0	1	How to place elements in a queue data structure ?
place	VERB	0	5p0_pert_12	5p0	0	1	2	How to place elements in a queue data structure ?
elements	NOUN	0	5p0_pert_12	5p0	0	0	3	How to place elements in a queue data structure ?
in	ADP	0	5p0_pert_12	5p0	0	0	4	How to place elements in a queue data structure ?
a	DET	0	5p0_pert_12	5p0	0	0	5	How to place elements in a queue data structure ?
queue	NOUN	1	5p0_pert_12	5p0	0	0	6	How to place elements in a queue data structure ?
data	NOUN	0	5p0_pert_12	5p0	0	0	7	How to place elements in a queue data structure ?
structure	NOUN	0	5p0_pert_12	5p0	0	0	8	How to place elements in a queue data structure ?
?	PUNCT	0	5p0_pert_12	5p0	0	0	9	How to place elements in a queue data structure ?
How	SCONJ	0	5p0_pert_13	5p0	0	0	0	How to find elements in a queue data structure ?
to	PART	0	5p0_pert_13	5p0	0	0	1	How to find elements in a queue data structure ?
find	VERB	0	5p0_pert_13	5p0	0	1	2	How to find elements in a queue data structure ?
