Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
How	SCONJ	0	18p0	18p0	1	0	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
are	AUX	0	18p0	18p0	1	0	1	2	How are the operations to enqueue and dequeue elements in a stack implemented ?
the	DET	0	18p0	18p0	1	0	2	3	How are the operations to enqueue and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0	18p0	1	0	3	4	How are the operations to enqueue and dequeue elements in a stack implemented ?
to	PART	0	18p0	18p0	1	0	4	5	How are the operations to enqueue and dequeue elements in a stack implemented ?
enqueue	VERB	1	18p0	18p0	1	1	5	6	How are the operations to enqueue and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0	18p0	1	0	6	7	How are the operations to enqueue and dequeue elements in a stack implemented ?
dequeue	NOUN	1	18p0	18p0	1	0	7	8	How are the operations to enqueue and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0	18p0	1	0	8	9	How are the operations to enqueue and dequeue elements in a stack implemented ?
in	ADP	0	18p0	18p0	1	0	9	10	How are the operations to enqueue and dequeue elements in a stack implemented ?
a	DET	0	18p0	18p0	1	0	10	11	How are the operations to enqueue and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0	18p0	1	0	11	12	How are the operations to enqueue and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0	18p0	1	0	12	13	How are the operations to enqueue and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0	18p0	1	0	13		How are the operations to enqueue and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_0	18p0	0	0	0	15	How are the operations to store and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_0	18p0	0	0	1	16	How are the operations to store and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_0	18p0	0	0	2	17	How are the operations to store and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_0	18p0	0	0	3	18	How are the operations to store and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_0	18p0	0	0	4	19	How are the operations to store and dequeue elements in a stack implemented ?
store	VERB	0	18p0_pert_0	18p0	0	1	5	20	How are the operations to store and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_0	18p0	0	0	6	21	How are the operations to store and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_0	18p0	0	0	7	22	How are the operations to store and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_0	18p0	0	0	8	23	How are the operations to store and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_0	18p0	0	0	9	24	How are the operations to store and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_0	18p0	0	0	10	25	How are the operations to store and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_0	18p0	0	0	11	26	How are the operations to store and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_0	18p0	0	0	12	27	How are the operations to store and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_0	18p0	0	0	13		How are the operations to store and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_1	18p0	0	0	0	29	How are the operations to stack and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_1	18p0	0	0	1	30	How are the operations to stack and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_1	18p0	0	0	2	31	How are the operations to stack and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_1	18p0	0	0	3	32	How are the operations to stack and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_1	18p0	0	0	4	33	How are the operations to stack and dequeue elements in a stack implemented ?
stack	VERB	0	18p0_pert_1	18p0	0	0	5	34	How are the operations to stack and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_1	18p0	0	0	6	35	How are the operations to stack and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_1	18p0	0	0	7	36	How are the operations to stack and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_1	18p0	0	0	8	37	How are the operations to stack and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_1	18p0	0	0	9	38	How are the operations to stack and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_1	18p0	0	0	10	39	How are the operations to stack and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_1	18p0	0	0	11	40	How are the operations to stack and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_1	18p0	0	0	12	41	How are the operations to stack and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_1	18p0	0	0	13		How are the operations to stack and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_2	18p0	0	0	0	43	How are the operations to load and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_2	18p0	0	0	1	44	How are the operations to load and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_2	18p0	0	0	2	45	How are the operations to load and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_2	18p0	0	0	3	46	How are the operations to load and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_2	18p0	0	0	4	47	How are the operations to load and dequeue elements in a stack implemented ?
load	VERB	0	18p0_pert_2	18p0	0	1	5	48	How are the operations to load and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_2	18p0	0	0	6	49	How are the operations to load and dequeue elements in a stack implemented ?
dequeue	NOUN	1	18p0_pert_2	18p0	0	0	7	50	How are the operations to load and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_2	18p0	0	0	8	51	How are the operations to load and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_2	18p0	0	0	9	52	How are the operations to load and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_2	18p0	0	0	10	53	How are the operations to load and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_2	18p0	0	0	11	54	How are the operations to load and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_2	18p0	0	0	12	55	How are the operations to load and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_2	18p0	0	0	13		How are the operations to load and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_3	18p0	0	0	0	57	How are the operations to divide and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_3	18p0	0	0	1	58	How are the operations to divide and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_3	18p0	0	0	2	59	How are the operations to divide and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_3	18p0	0	0	3	60	How are the operations to divide and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_3	18p0	0	0	4	61	How are the operations to divide and dequeue elements in a stack implemented ?
divide	VERB	0	18p0_pert_3	18p0	0	1	5	62	How are the operations to divide and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_3	18p0	0	0	6	63	How are the operations to divide and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_3	18p0	0	0	7	64	How are the operations to divide and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_3	18p0	0	0	8	65	How are the operations to divide and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_3	18p0	0	0	9	66	How are the operations to divide and dequeue elements in a stack implemented ?
