Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
Como	SCONJ	0	4	4	1	0	0	0	1	Como empilhar e desempilhar elementos em uma pilha ?
empilhar	VERB	1	4	4	1	0	1	0	1	Como empilhar e desempilhar elementos em uma pilha ?
e	CCONJ	0	4	4	1	0	2	0	1	Como empilhar e desempilhar elementos em uma pilha ?
desempilhar	VERB	1	4	4	1	1	3	0	1	Como empilhar e desempilhar elementos em uma pilha ?
elementos	NOUN	0	4	4	1	0	4	0	1	Como empilhar e desempilhar elementos em uma pilha ?
em	ADP	0	4	4	1	0	5	0	1	Como empilhar e desempilhar elementos em uma pilha ?
uma	DET	0	4	4	1	0	6	0	1	Como empilhar e desempilhar elementos em uma pilha ?
pilha	NOUN	0	4	4	1	0	7	0	1	Como empilhar e desempilhar elementos em uma pilha ?
?	PUNCT	0	4	4	1	0	8	0	1	Como empilhar e desempilhar elementos em uma pilha ?
Como empilhar e desempilhar elementos em uma pilha ?	['SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 1, 0, 1, 0, 0, 0, 0, 0]	4	4	1	-1	-1	1	3	Como empilhar e desempilhar elementos em uma pilha ?
Como	SCONJ	0	4_pert_0	4	0	0	0	0	0	Como empilhar e organizar elementos em uma pilha ?
empilhar	VERB	1	4_pert_0	4	0	0	1	0	0	Como empilhar e organizar elementos em uma pilha ?
e	CCONJ	0	4_pert_0	4	0	0	2	0	0	Como empilhar e organizar elementos em uma pilha ?
organizar	VERB	0	4_pert_0	4	0	1	3	0	0	Como empilhar e organizar elementos em uma pilha ?
elementos	NOUN	0	4_pert_0	4	0	0	4	0	0	Como empilhar e organizar elementos em uma pilha ?
em	ADP	0	4_pert_0	4	0	0	5	0	0	Como empilhar e organizar elementos em uma pilha ?
uma	DET	0	4_pert_0	4	0	0	6	0	0	Como empilhar e organizar elementos em uma pilha ?
pilha	NOUN	0	4_pert_0	4	0	0	7	0	0	Como empilhar e organizar elementos em uma pilha ?
?	PUNCT	0	4_pert_0	4	0	0	8	0	0	Como empilhar e organizar elementos em uma pilha ?
Como empilhar e organizar elementos em uma pilha ?	['SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0]	4_pert_0	4	0	-1	-1	1	2	Como empilhar e organizar elementos em uma pilha ?
Como	SCONJ	0	4_pert_1	4	0	0	0	0	0	Como empilhar e colocar elementos em uma pilha ?
empilhar	VERB	1	4_pert_1	4	0	0	1	0	0	Como empilhar e colocar elementos em uma pilha ?
e	CCONJ	0	4_pert_1	4	0	0	2	0	0	Como empilhar e colocar elementos em uma pilha ?
colocar	VERB	0	4_pert_1	4	0	1	3	0	0	Como empilhar e colocar elementos em uma pilha ?
elementos	NOUN	0	4_pert_1	4	0	0	4	0	0	Como empilhar e colocar elementos em uma pilha ?
em	ADP	0	4_pert_1	4	0	0	5	0	0	Como empilhar e colocar elementos em uma pilha ?
uma	DET	0	4_pert_1	4	0	0	6	0	0	Como empilhar e colocar elementos em uma pilha ?
pilha	NOUN	0	4_pert_1	4	0	0	7	0	0	Como empilhar e colocar elementos em uma pilha ?
?	PUNCT	0	4_pert_1	4	0	0	8	0	0	Como empilhar e colocar elementos em uma pilha ?
Como empilhar e colocar elementos em uma pilha ?	['SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0]	4_pert_1	4	0	-1	-1	1	2	Como empilhar e colocar elementos em uma pilha ?
Como	SCONJ	0	4_pert_2	4	0	0	0	0	0	Como empilhar e distribuir elementos em uma pilha ?
empilhar	VERB	1	4_pert_2	4	0	0	1	0	0	Como empilhar e distribuir elementos em uma pilha ?
e	CCONJ	0	4_pert_2	4	0	0	2	0	0	Como empilhar e distribuir elementos em uma pilha ?
