Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
Como	ADV	0	56b4eba75fdf48af9900529219a9b180	56b4eba75fdf48af9900529219a9b180	1	0	0	0	1	Como é conhecido Alan Turing ?
é	AUX	0	56b4eba75fdf48af9900529219a9b180	56b4eba75fdf48af9900529219a9b180	1	0	1	0	1	Como é conhecido Alan Turing ?
conhecido	VERB	0	56b4eba75fdf48af9900529219a9b180	56b4eba75fdf48af9900529219a9b180	1	1	2	0	1	Como é conhecido Alan Turing ?
Alan	PROPN	0	56b4eba75fdf48af9900529219a9b180	56b4eba75fdf48af9900529219a9b180	1	0	3	0	1	Como é conhecido Alan Turing ?
Turing	PROPN	0	56b4eba75fdf48af9900529219a9b180	56b4eba75fdf48af9900529219a9b180	1	0	4	0	1	Como é conhecido Alan Turing ?
?	PUNCT	0	56b4eba75fdf48af9900529219a9b180	56b4eba75fdf48af9900529219a9b180	1	0	5	0	1	Como é conhecido Alan Turing ?
Como é conhecido Alan Turing ?	['ADV', 'AUX', 'VERB', 'PROPN', 'PROPN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	56b4eba75fdf48af9900529219a9b180	56b4eba75fdf48af9900529219a9b180	1	-1	-1	1	3	Como é conhecido Alan Turing ?
Como	ADV	0	56b4eba75fdf48af9900529219a9b180_pert_0	56b4eba75fdf48af9900529219a9b180	0	0	0	0	0	Como é o Alan Turing ?
é	AUX	0	56b4eba75fdf48af9900529219a9b180_pert_0	56b4eba75fdf48af9900529219a9b180	0	0	1	0	0	Como é o Alan Turing ?
o	DET	0	56b4eba75fdf48af9900529219a9b180_pert_0	56b4eba75fdf48af9900529219a9b180	0	1	2	0	0	Como é o Alan Turing ?
Alan	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_0	56b4eba75fdf48af9900529219a9b180	0	0	3	0	0	Como é o Alan Turing ?
Turing	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_0	56b4eba75fdf48af9900529219a9b180	0	0	4	0	0	Como é o Alan Turing ?
?	PUNCT	0	56b4eba75fdf48af9900529219a9b180_pert_0	56b4eba75fdf48af9900529219a9b180	0	0	5	0	0	Como é o Alan Turing ?
Como é o Alan Turing ?	['ADV', 'AUX', 'DET', 'PROPN', 'PROPN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	56b4eba75fdf48af9900529219a9b180_pert_0	56b4eba75fdf48af9900529219a9b180	0	-1	-1	1	2	Como é o Alan Turing ?
Como	ADV	0	56b4eba75fdf48af9900529219a9b180_pert_1	56b4eba75fdf48af9900529219a9b180	0	0	0	0	0	Como é possível Alan Turing ?
é	AUX	0	56b4eba75fdf48af9900529219a9b180_pert_1	56b4eba75fdf48af9900529219a9b180	0	0	1	0	0	Como é possível Alan Turing ?
possível	ADJ	0	56b4eba75fdf48af9900529219a9b180_pert_1	56b4eba75fdf48af9900529219a9b180	0	1	2	0	0	Como é possível Alan Turing ?
Alan	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_1	56b4eba75fdf48af9900529219a9b180	0	0	3	0	0	Como é possível Alan Turing ?
Turing	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_1	56b4eba75fdf48af9900529219a9b180	0	0	4	0	0	Como é possível Alan Turing ?
?	PUNCT	0	56b4eba75fdf48af9900529219a9b180_pert_1	56b4eba75fdf48af9900529219a9b180	0	0	5	0	0	Como é possível Alan Turing ?
Como é possível Alan Turing ?	['ADV', 'AUX', 'ADJ', 'PROPN', 'PROPN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	56b4eba75fdf48af9900529219a9b180_pert_1	56b4eba75fdf48af9900529219a9b180	0	-1	-1	1	2	Como é possível Alan Turing ?
Como	ADV	0	56b4eba75fdf48af9900529219a9b180_pert_2	56b4eba75fdf48af9900529219a9b180	0	0	0	0	0	Como é que Alan Turing ?
é	AUX	0	56b4eba75fdf48af9900529219a9b180_pert_2	56b4eba75fdf48af9900529219a9b180	0	0	1	0	0	Como é que Alan Turing ?
que	SCONJ	0	56b4eba75fdf48af9900529219a9b180_pert_2	56b4eba75fdf48af9900529219a9b180	0	1	2	0	0	Como é que Alan Turing ?
Alan	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_2	56b4eba75fdf48af9900529219a9b180	0	0	3	0	0	Como é que Alan Turing ?
Turing	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_2	56b4eba75fdf48af9900529219a9b180	0	0	4	0	0	Como é que Alan Turing ?
?	PUNCT	0	56b4eba75fdf48af9900529219a9b180_pert_2	56b4eba75fdf48af9900529219a9b180	0	0	5	0	0	Como é que Alan Turing ?
Como é que Alan Turing ?	['ADV', 'AUX', 'SCONJ', 'PROPN', 'PROPN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	56b4eba75fdf48af9900529219a9b180_pert_2	56b4eba75fdf48af9900529219a9b180	0	-1	-1	1	2	Como é que Alan Turing ?
Como	ADV	0	56b4eba75fdf48af9900529219a9b180_pert_3	56b4eba75fdf48af9900529219a9b180	0	0	0	0	0	Como é um Alan Turing ?
é	AUX	0	56b4eba75fdf48af9900529219a9b180_pert_3	56b4eba75fdf48af9900529219a9b180	0	0	1	0	0	Como é um Alan Turing ?
um	DET	0	56b4eba75fdf48af9900529219a9b180_pert_3	56b4eba75fdf48af9900529219a9b180	0	1	2	0	0	Como é um Alan Turing ?
Alan	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_3	56b4eba75fdf48af9900529219a9b180	0	0	3	0	0	Como é um Alan Turing ?
Turing	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_3	56b4eba75fdf48af9900529219a9b180	0	0	4	0	0	Como é um Alan Turing ?
?	PUNCT	0	56b4eba75fdf48af9900529219a9b180_pert_3	56b4eba75fdf48af9900529219a9b180	0	0	5	0	0	Como é um Alan Turing ?
Como é um Alan Turing ?	['ADV', 'AUX', 'DET', 'PROPN', 'PROPN', 'PUNCT']	[0, 0, 0, 0, 0, 0]	56b4eba75fdf48af9900529219a9b180_pert_3	56b4eba75fdf48af9900529219a9b180	0	-1	-1	1	2	Como é um Alan Turing ?
Como	ADV	0	56b4eba75fdf48af9900529219a9b180_pert_4	56b4eba75fdf48af9900529219a9b180	0	0	0	0	0	Como é conhecido Alan Turing ?
é	AUX	0	56b4eba75fdf48af9900529219a9b180_pert_4	56b4eba75fdf48af9900529219a9b180	0	0	1	0	0	Como é conhecido Alan Turing ?
conhecido	VERB	0	56b4eba75fdf48af9900529219a9b180_pert_4	56b4eba75fdf48af9900529219a9b180	0	1	2	0	0	Como é conhecido Alan Turing ?
Alan	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_4	56b4eba75fdf48af9900529219a9b180	0	0	3	0	0	Como é conhecido Alan Turing ?
Turing	PROPN	0	56b4eba75fdf48af9900529219a9b180_pert_4	56b4eba75fdf48af9900529219a9b180	0	0	4	0	0	Como é conhecido Alan Turing ?
