Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
How	SCONJ	0	18	18	1	0	0	How are the operations to enqueue and dequeue elements in a queue implemented ?
are	AUX	0	18	18	1	0	1	How are the operations to enqueue and dequeue elements in a queue implemented ?
the	DET	0	18	18	1	0	2	How are the operations to enqueue and dequeue elements in a queue implemented ?
operations	NOUN	0	18	18	1	0	3	How are the operations to enqueue and dequeue elements in a queue implemented ?
to	PART	0	18	18	1	0	4	How are the operations to enqueue and dequeue elements in a queue implemented ?
enqueue	VERB	1	18	18	1	0	5	How are the operations to enqueue and dequeue elements in a queue implemented ?
and	CCONJ	0	18	18	1	0	6	How are the operations to enqueue and dequeue elements in a queue implemented ?
dequeue	NOUN	1	18	18	1	0	7	How are the operations to enqueue and dequeue elements in a queue implemented ?
elements	NOUN	0	18	18	1	0	8	How are the operations to enqueue and dequeue elements in a queue implemented ?
in	ADP	0	18	18	1	0	9	How are the operations to enqueue and dequeue elements in a queue implemented ?
a	DET	0	18	18	1	0	10	How are the operations to enqueue and dequeue elements in a queue implemented ?
queue	NOUN	1	18	18	1	0	11	How are the operations to enqueue and dequeue elements in a queue implemented ?
implemented	VERB	0	18	18	1	1	12	How are the operations to enqueue and dequeue elements in a queue implemented ?
?	PUNCT	0	18	18	1	0	13	How are the operations to enqueue and dequeue elements in a queue implemented ?
How	SCONJ	0	18_pert_0	18	0	0	0	How are the operations to enqueue and dequeue elements in a queue defined ?
are	AUX	0	18_pert_0	18	0	0	1	How are the operations to enqueue and dequeue elements in a queue defined ?
the	DET	0	18_pert_0	18	0	0	2	How are the operations to enqueue and dequeue elements in a queue defined ?
operations	NOUN	0	18_pert_0	18	0	0	3	How are the operations to enqueue and dequeue elements in a queue defined ?
to	PART	0	18_pert_0	18	0	0	4	How are the operations to enqueue and dequeue elements in a queue defined ?
enqueue	VERB	1	18_pert_0	18	0	0	5	How are the operations to enqueue and dequeue elements in a queue defined ?
and	CCONJ	0	18_pert_0	18	0	0	6	How are the operations to enqueue and dequeue elements in a queue defined ?
dequeue	NOUN	1	18_pert_0	18	0	0	7	How are the operations to enqueue and dequeue elements in a queue defined ?
elements	NOUN	0	18_pert_0	18	0	0	8	How are the operations to enqueue and dequeue elements in a queue defined ?
in	ADP	0	18_pert_0	18	0	0	9	How are the operations to enqueue and dequeue elements in a queue defined ?
a	DET	0	18_pert_0	18	0	0	10	How are the operations to enqueue and dequeue elements in a queue defined ?
queue	NOUN	1	18_pert_0	18	0	0	11	How are the operations to enqueue and dequeue elements in a queue defined ?
defined	VERB	0	18_pert_0	18	0	1	12	How are the operations to enqueue and dequeue elements in a queue defined ?
?	PUNCT	0	18_pert_0	18	0	0	13	How are the operations to enqueue and dequeue elements in a queue defined ?
How	SCONJ	0	18_pert_1	18	0	0	0	How are the operations to enqueue and dequeue elements in a queue implemented ?
are	AUX	0	18_pert_1	18	0	0	1	How are the operations to enqueue and dequeue elements in a queue implemented ?
the	DET	0	18_pert_1	18	0	0	2	How are the operations to enqueue and dequeue elements in a queue implemented ?
operations	NOUN	0	18_pert_1	18	0	0	3	How are the operations to enqueue and dequeue elements in a queue implemented ?
