Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
O	PRON	0	11	11	1	0	0	O que é uma fila e como desenfileirar um elemento nela ?
que	PRON	0	11	11	1	0	1	O que é uma fila e como desenfileirar um elemento nela ?
é	AUX	0	11	11	1	0	2	O que é uma fila e como desenfileirar um elemento nela ?
uma	DET	0	11	11	1	0	3	O que é uma fila e como desenfileirar um elemento nela ?
fila	NOUN	1	11	11	1	0	4	O que é uma fila e como desenfileirar um elemento nela ?
e	CCONJ	0	11	11	1	0	5	O que é uma fila e como desenfileirar um elemento nela ?
como	ADV	0	11	11	1	0	6	O que é uma fila e como desenfileirar um elemento nela ?
desenfileirar	ADV	1	11	11	1	0	7	O que é uma fila e como desenfileirar um elemento nela ?
um	DET	0	11	11	1	0	8	O que é uma fila e como desenfileirar um elemento nela ?
elemento	NOUN	0	11	11	1	1	9	O que é uma fila e como desenfileirar um elemento nela ?
nela	PRON	0	11	11	1	0	10	O que é uma fila e como desenfileirar um elemento nela ?
?	PUNCT	0	11	11	1	0	11	O que é uma fila e como desenfileirar um elemento nela ?
O	PRON	0	11_pert_0	11	0	0	0	O que é uma fila e como desenfileirar um carro nela ?
que	PRON	0	11_pert_0	11	0	0	1	O que é uma fila e como desenfileirar um carro nela ?
é	AUX	0	11_pert_0	11	0	0	2	O que é uma fila e como desenfileirar um carro nela ?
uma	DET	0	11_pert_0	11	0	0	3	O que é uma fila e como desenfileirar um carro nela ?
fila	NOUN	1	11_pert_0	11	0	0	4	O que é uma fila e como desenfileirar um carro nela ?
e	CCONJ	0	11_pert_0	11	0	0	5	O que é uma fila e como desenfileirar um carro nela ?
como	ADV	0	11_pert_0	11	0	0	6	O que é uma fila e como desenfileirar um carro nela ?
desenfileirar	ADV	1	11_pert_0	11	0	0	7	O que é uma fila e como desenfileirar um carro nela ?
um	DET	0	11_pert_0	11	0	0	8	O que é uma fila e como desenfileirar um carro nela ?
carro	NOUN	0	11_pert_0	11	0	1	9	O que é uma fila e como desenfileirar um carro nela ?
nela	PRON	0	11_pert_0	11	0	0	10	O que é uma fila e como desenfileirar um carro nela ?
?	PUNCT	0	11_pert_0	11	0	0	11	O que é uma fila e como desenfileirar um carro nela ?
O	PRON	0	11_pert_1	11	0	0	0	O que é uma fila e como desenfileirar um veículo nela ?
que	PRON	0	11_pert_1	11	0	0	1	O que é uma fila e como desenfileirar um veículo nela ?
é	AUX	0	11_pert_1	11	0	0	2	O que é uma fila e como desenfileirar um veículo nela ?
uma	DET	0	11_pert_1	11	0	0	3	O que é uma fila e como desenfileirar um veículo nela ?
fila	NOUN	1	11_pert_1	11	0	0	4	O que é uma fila e como desenfileirar um veículo nela ?
e	CCONJ	0	11_pert_1	11	0	0	5	O que é uma fila e como desenfileirar um veículo nela ?
