Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
How	SCONJ	0	8	8	1	0	0	1	0	1	How to pop elements in a stack data structure ?
to	PART	0	8	8	1	0	1	2	0	1	How to pop elements in a stack data structure ?
pop	VERB	0	8	8	1	0	2	3	0	1	How to pop elements in a stack data structure ?
elements	NOUN	0	8	8	1	0	3	4	0	1	How to pop elements in a stack data structure ?
in	ADP	0	8	8	1	0	4	5	0	1	How to pop elements in a stack data structure ?
a	DET	0	8	8	1	0	5	6	0	1	How to pop elements in a stack data structure ?
stack	NOUN	0	8	8	1	1	6	7	0	1	How to pop elements in a stack data structure ?
data	NOUN	0	8	8	1	0	7	8	0	1	How to pop elements in a stack data structure ?
structure	NOUN	0	8	8	1	0	8	9	0	1	How to pop elements in a stack data structure ?
?	PUNCT	0	8	8	1	0	9	10	0	1	How to pop elements in a stack data structure ?
0	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	8	8	1	-1	-1		1	3	How to pop elements in a stack data structure ?
How	SCONJ	0	8_pert_0	8	0	0	0	12	0	0	How to pop elements in a queue data structure ?
to	PART	0	8_pert_0	8	0	0	1	13	0	0	How to pop elements in a queue data structure ?
pop	VERB	0	8_pert_0	8	0	0	2	14	0	0	How to pop elements in a queue data structure ?
elements	NOUN	0	8_pert_0	8	0	0	3	15	0	0	How to pop elements in a queue data structure ?
in	ADP	0	8_pert_0	8	0	0	4	16	0	0	How to pop elements in a queue data structure ?
a	DET	0	8_pert_0	8	0	0	5	17	0	0	How to pop elements in a queue data structure ?
queue	NOUN	1	8_pert_0	8	0	1	6	18	0	0	How to pop elements in a queue data structure ?
data	NOUN	0	8_pert_0	8	0	0	7	19	0	0	How to pop elements in a queue data structure ?
structure	NOUN	0	8_pert_0	8	0	0	8	20	0	0	How to pop elements in a queue data structure ?
?	PUNCT	0	8_pert_0	8	0	0	9	21	0	0	How to pop elements in a queue data structure ?
1	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	8_pert_0	8	0	-1	-1		1	2	How to pop elements in a queue data structure ?
