Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
What	PRON	0	16	16	1	0	0	What is a queue and how to enqueue and dequeue its elements ?
is	AUX	0	16	16	1	0	1	What is a queue and how to enqueue and dequeue its elements ?
a	DET	0	16	16	1	0	2	What is a queue and how to enqueue and dequeue its elements ?
queue	NOUN	1	16	16	1	0	3	What is a queue and how to enqueue and dequeue its elements ?
and	CCONJ	0	16	16	1	0	4	What is a queue and how to enqueue and dequeue its elements ?
how	SCONJ	0	16	16	1	0	5	What is a queue and how to enqueue and dequeue its elements ?
to	PART	0	16	16	1	0	6	What is a queue and how to enqueue and dequeue its elements ?
enqueue	VERB	1	16	16	1	0	7	What is a queue and how to enqueue and dequeue its elements ?
and	CCONJ	0	16	16	1	0	8	What is a queue and how to enqueue and dequeue its elements ?
dequeue	VERB	1	16	16	1	1	9	What is a queue and how to enqueue and dequeue its elements ?
its	PRON	0	16	16	1	0	10	What is a queue and how to enqueue and dequeue its elements ?
elements	NOUN	0	16	16	1	0	11	What is a queue and how to enqueue and dequeue its elements ?
?	PUNCT	0	16	16	1	0	12	What is a queue and how to enqueue and dequeue its elements ?
What	PRON	0	16_pert_0	16	0	0	0	What is a queue and how to enqueue and organize its elements ?
is	AUX	0	16_pert_0	16	0	0	1	What is a queue and how to enqueue and organize its elements ?
a	DET	0	16_pert_0	16	0	0	2	What is a queue and how to enqueue and organize its elements ?
queue	NOUN	1	16_pert_0	16	0	0	3	What is a queue and how to enqueue and organize its elements ?
and	CCONJ	0	16_pert_0	16	0	0	4	What is a queue and how to enqueue and organize its elements ?
how	SCONJ	0	16_pert_0	16	0	0	5	What is a queue and how to enqueue and organize its elements ?
to	PART	0	16_pert_0	16	0	0	6	What is a queue and how to enqueue and organize its elements ?
enqueue	VERB	1	16_pert_0	16	0	0	7	What is a queue and how to enqueue and organize its elements ?
and	CCONJ	0	16_pert_0	16	0	0	8	What is a queue and how to enqueue and organize its elements ?
organize	VERB	0	16_pert_0	16	0	1	9	What is a queue and how to enqueue and organize its elements ?
its	PRON	0	16_pert_0	16	0	0	10	What is a queue and how to enqueue and organize its elements ?
elements	NOUN	0	16_pert_0	16	0	0	11	What is a queue and how to enqueue and organize its elements ?
?	PUNCT	0	16_pert_0	16	0	0	12	What is a queue and how to enqueue and organize its elements ?
What	PRON	0	16_pert_1	16	0	0	0	What is a queue and how to enqueue and arrange its elements ?
is	AUX	0	16_pert_1	16	0	0	1	What is a queue and how to enqueue and arrange its elements ?
a	DET	0	16_pert_1	16	0	0	2	What is a queue and how to enqueue and arrange its elements ?
queue	NOUN	1	16_pert_1	16	0	0	3	What is a queue and how to enqueue and arrange its elements ?
and	CCONJ	0	16_pert_1	16	0	0	4	What is a queue and how to enqueue and arrange its elements ?
how	SCONJ	0	16_pert_1	16	0	0	5	What is a queue and how to enqueue and arrange its elements ?
to	PART	0	16_pert_1	16	0	0	6	What is a queue and how to enqueue and arrange its elements ?
enqueue	VERB	1	16_pert_1	16	0	0	7	What is a queue and how to enqueue and arrange its elements ?
