Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
What	PRON	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	0	1	0	1	What did the beginnings of class differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	1	2	0	1	What did the beginnings of class differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	2	3	0	1	What did the beginnings of class differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	3	4	0	1	What did the beginnings of class differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	4	5	0	1	What did the beginnings of class differentiation end ?
class	NOUN	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	1	5	6	0	1	What did the beginnings of class differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	6	7	0	1	What did the beginnings of class differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	7	8	0	1	What did the beginnings of class differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	8	9	0	1	What did the beginnings of class differentiation end ?
What did the beginnings of class differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	-1	-1		1	3	What did the beginnings of class differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	0	11	0	0	What did the beginnings of that differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	1	12	0	0	What did the beginnings of that differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	2	13	0	0	What did the beginnings of that differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	3	14	0	0	What did the beginnings of that differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	4	15	0	0	What did the beginnings of that differentiation end ?
that	DET	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	1	5	16	0	0	What did the beginnings of that differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	6	17	0	0	What did the beginnings of that differentiation end ?
end	VERB	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	7	18	0	0	What did the beginnings of that differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	8	19	0	0	What did the beginnings of that differentiation end ?
What did the beginnings of that differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	-1	-1		1	2	What did the beginnings of that differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	0	21	0	0	What did the beginnings of the differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	1	22	0	0	What did the beginnings of the differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	2	23	0	0	What did the beginnings of the differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	3	24	0	0	What did the beginnings of the differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	4	25	0	0	What did the beginnings of the differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	5	26	0	0	What did the beginnings of the differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	6	27	0	0	What did the beginnings of the differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	7	28	0	0	What did the beginnings of the differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	8	29	0	0	What did the beginnings of the differentiation end ?
What did the beginnings of the differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	-1	-1		1	2	What did the beginnings of the differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	0	31	0	0	What did the beginnings of this differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	1	32	0	0	What did the beginnings of this differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	2	33	0	0	What did the beginnings of this differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	3	34	0	0	What did the beginnings of this differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	4	35	0	0	What did the beginnings of this differentiation end ?
this	DET	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	1	5	36	0	0	What did the beginnings of this differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	6	37	0	0	What did the beginnings of this differentiation end ?
end	VERB	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	7	38	0	0	What did the beginnings of this differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	8	39	0	0	What did the beginnings of this differentiation end ?
What did the beginnings of this differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	-1	-1		1	2	What did the beginnings of this differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	0	0	41	0	0	What did the beginnings of human differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	0	1	42	0	0	What did the beginnings of human differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	0	2	43	0	0	What did the beginnings of human differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	0	3	44	0	0	What did the beginnings of human differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	0	4	45	0	0	What did the beginnings of human differentiation end ?
human	ADJ	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	1	5	46	0	0	What did the beginnings of human differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	0	6	47	0	0	What did the beginnings of human differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	0	7	48	0	0	What did the beginnings of human differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	0	8	49	0	0	What did the beginnings of human differentiation end ?
What did the beginnings of human differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20_pert_3	5ad4a8225b96ef001a109d20	0	-1	-1		1	2	What did the beginnings of human differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	0	0	51	0	0	What did the beginnings of genetic differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	0	1	52	0	0	What did the beginnings of genetic differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	0	2	53	0	0	What did the beginnings of genetic differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	0	3	54	0	0	What did the beginnings of genetic differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	0	4	55	0	0	What did the beginnings of genetic differentiation end ?
genetic	ADJ	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	1	5	56	0	0	What did the beginnings of genetic differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	0	6	57	0	0	What did the beginnings of genetic differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	0	7	58	0	0	What did the beginnings of genetic differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	0	8	59	0	0	What did the beginnings of genetic differentiation end ?
What did the beginnings of genetic differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20_pert_4	5ad4a8225b96ef001a109d20	0	-1	-1		1	2	What did the beginnings of genetic differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	0	0	61	0	0	What did the beginnings of their differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	0	1	62	0	0	What did the beginnings of their differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	0	2	63	0	0	What did the beginnings of their differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	0	3	64	0	0	What did the beginnings of their differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	0	4	65	0	0	What did the beginnings of their differentiation end ?
their	PRON	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	1	5	66	0	0	What did the beginnings of their differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	0	6	67	0	0	What did the beginnings of their differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	0	7	68	0	0	What did the beginnings of their differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	0	8	69	0	0	What did the beginnings of their differentiation end ?
What did the beginnings of their differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'PRON', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20_pert_5	5ad4a8225b96ef001a109d20	0	-1	-1		1	2	What did the beginnings of their differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	0	0	71	0	0	What did the beginnings of such differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	0	1	72	0	0	What did the beginnings of such differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	0	2	73	0	0	What did the beginnings of such differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	0	3	74	0	0	What did the beginnings of such differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	0	4	75	0	0	What did the beginnings of such differentiation end ?
such	ADJ	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	1	5	76	0	0	What did the beginnings of such differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	0	6	77	0	0	What did the beginnings of such differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	0	7	78	0	0	What did the beginnings of such differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	0	8	79	0	0	What did the beginnings of such differentiation end ?
What did the beginnings of such differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20_pert_6	5ad4a8225b96ef001a109d20	0	-1	-1		1	2	What did the beginnings of such differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	0	0	81	0	0	What did the beginnings of biological differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	0	1	82	0	0	What did the beginnings of biological differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	0	2	83	0	0	What did the beginnings of biological differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	0	3	84	0	0	What did the beginnings of biological differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	0	4	85	0	0	What did the beginnings of biological differentiation end ?
biological	ADJ	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	1	5	86	0	0	What did the beginnings of biological differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	0	6	87	0	0	What did the beginnings of biological differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	0	7	88	0	0	What did the beginnings of biological differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	0	8	89	0	0	What did the beginnings of biological differentiation end ?
What did the beginnings of biological differentiation end ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	5ad4a8225b96ef001a109d20_pert_7	5ad4a8225b96ef001a109d20	0	-1	-1		1	2	What did the beginnings of biological differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_8	5ad4a8225b96ef001a109d20	0	0	0	91	0	0	What did the beginnings of a differentiation end ?
did	VERB	0	5ad4a8225b96ef001a109d20_pert_8	5ad4a8225b96ef001a109d20	0	0	1	92	0	0	What did the beginnings of a differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_8	5ad4a8225b96ef001a109d20	0	0	2	93	0	0	What did the beginnings of a differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_8	5ad4a8225b96ef001a109d20	0	0	3	94	0	0	What did the beginnings of a differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_8	5ad4a8225b96ef001a109d20	0	0	4	95	0	0	What did the beginnings of a differentiation end ?
