Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
Who	PRON	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	0	1	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
convinced	VERB	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	1	2	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
Michael	PROPN	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	2	3	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
Dell	PROPN	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	3	4	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
to	PART	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	4	5	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
use	VERB	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	1	5	6	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
retailers	NOUN	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	6	7	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
to	PART	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	7	8	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
sell	VERB	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	8	9	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
PCs	NOUN	1	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	9	10	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
?	PUNCT	0	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	0	10	11	0	1	Who convinced Michael Dell to use retailers to sell PCs ?
Who convinced Michael Dell to use retailers to sell PCs ?	['PRON', 'VERB', 'PROPN', 'PROPN', 'PART', 'VERB', 'NOUN', 'PART', 'VERB', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	5ad35760604f3c001a3fddf6	5ad35760604f3c001a3fddf6	1	-1	-1		1	3	Who convinced Michael Dell to use retailers to sell PCs ?
Who	PRON	0	5ad35760604f3c001a3fddf6_pert_0	5ad35760604f3c001a3fddf6	0	0	0	13	0	0	Who convinced Michael Dell to allow retailers to sell PCs ?
convinced	VERB	0	5ad35760604f3c001a3fddf6_pert_0	5ad35760604f3c001a3fddf6	0	0	1	14	0	0	Who convinced Michael Dell to allow retailers to sell PCs ?
Michael	PROPN	0	5ad35760604f3c001a3fddf6_pert_0	5ad35760604f3c001a3fddf6	0	0	2	15	0	0	Who convinced Michael Dell to allow retailers to sell PCs ?
Dell	PROPN	0	5ad35760604f3c001a3fddf6_pert_0	5ad35760604f3c001a3fddf6	0	0	3	16	0	0	Who convinced Michael Dell to allow retailers to sell PCs ?
to	PART	0	5ad35760604f3c001a3fddf6_pert_0	5ad35760604f3c001a3fddf6	0	0	4	17	0	0	Who convinced Michael Dell to allow retailers to sell PCs ?
