Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentence
Where	SCONJ	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	0	Where was Christina Christian at when she was eliminated from the show ?
was	AUX	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	1	Where was Christina Christian at when she was eliminated from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	2	Where was Christina Christian at when she was eliminated from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	3	Where was Christina Christian at when she was eliminated from the show ?
at	ADP	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	4	Where was Christina Christian at when she was eliminated from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	5	Where was Christina Christian at when she was eliminated from the show ?
she	PRON	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	6	Where was Christina Christian at when she was eliminated from the show ?
was	AUX	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	7	Where was Christina Christian at when she was eliminated from the show ?
eliminated	VERB	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	1	8	Where was Christina Christian at when she was eliminated from the show ?
from	ADP	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	9	Where was Christina Christian at when she was eliminated from the show ?
the	DET	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	10	Where was Christina Christian at when she was eliminated from the show ?
show	NOUN	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	11	Where was Christina Christian at when she was eliminated from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2	56d370aa59d6e414001463c2	1	0	12	Where was Christina Christian at when she was eliminated from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	0	Where was Christina Christian at when she was fired from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	1	Where was Christina Christian at when she was fired from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	2	Where was Christina Christian at when she was fired from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	3	Where was Christina Christian at when she was fired from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	4	Where was Christina Christian at when she was fired from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	5	Where was Christina Christian at when she was fired from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	6	Where was Christina Christian at when she was fired from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	7	Where was Christina Christian at when she was fired from the show ?
fired	VERB	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	1	8	Where was Christina Christian at when she was fired from the show ?
from	ADP	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	9	Where was Christina Christian at when she was fired from the show ?
the	DET	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	10	Where was Christina Christian at when she was fired from the show ?
show	NOUN	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	11	Where was Christina Christian at when she was fired from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2_pert_0	56d370aa59d6e414001463c2	0	0	12	Where was Christina Christian at when she was fired from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	0	Where was Christina Christian at when she was absent from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	1	Where was Christina Christian at when she was absent from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	2	Where was Christina Christian at when she was absent from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	3	Where was Christina Christian at when she was absent from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	4	Where was Christina Christian at when she was absent from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	5	Where was Christina Christian at when she was absent from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	6	Where was Christina Christian at when she was absent from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	7	Where was Christina Christian at when she was absent from the show ?
absent	ADJ	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	1	8	Where was Christina Christian at when she was absent from the show ?
from	ADP	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	9	Where was Christina Christian at when she was absent from the show ?
the	DET	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	10	Where was Christina Christian at when she was absent from the show ?
show	NOUN	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	11	Where was Christina Christian at when she was absent from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2_pert_1	56d370aa59d6e414001463c2	0	0	12	Where was Christina Christian at when she was absent from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	0	Where was Christina Christian at when she was gone from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	1	Where was Christina Christian at when she was gone from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	2	Where was Christina Christian at when she was gone from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	3	Where was Christina Christian at when she was gone from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	4	Where was Christina Christian at when she was gone from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	5	Where was Christina Christian at when she was gone from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	6	Where was Christina Christian at when she was gone from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	7	Where was Christina Christian at when she was gone from the show ?
gone	VERB	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	1	8	Where was Christina Christian at when she was gone from the show ?
from	ADP	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	9	Where was Christina Christian at when she was gone from the show ?
the	DET	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	10	Where was Christina Christian at when she was gone from the show ?
show	NOUN	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	11	Where was Christina Christian at when she was gone from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2_pert_2	56d370aa59d6e414001463c2	0	0	12	Where was Christina Christian at when she was gone from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	0	Where was Christina Christian at when she was away from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	1	Where was Christina Christian at when she was away from the show ?
Christina	PROPN	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	2	Where was Christina Christian at when she was away from the show ?
Christian	PROPN	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	3	Where was Christina Christian at when she was away from the show ?
at	ADP	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	4	Where was Christina Christian at when she was away from the show ?
when	SCONJ	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	5	Where was Christina Christian at when she was away from the show ?
she	PRON	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	6	Where was Christina Christian at when she was away from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	7	Where was Christina Christian at when she was away from the show ?
away	ADV	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	1	8	Where was Christina Christian at when she was away from the show ?
from	ADP	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	9	Where was Christina Christian at when she was away from the show ?
the	DET	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	10	Where was Christina Christian at when she was away from the show ?
show	NOUN	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	11	Where was Christina Christian at when she was away from the show ?
?	PUNCT	0	56d370aa59d6e414001463c2_pert_3	56d370aa59d6e414001463c2	0	0	12	Where was Christina Christian at when she was away from the show ?
Where	SCONJ	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	0	Where was Christina Christian at when she was removed from the show ?
was	AUX	0	56d370aa59d6e414001463c2_pert_4	56d370aa59d6e414001463c2	0	0	1	Where was Christina Christian at when she was removed from the show ?
