Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentence
What	PRON	0	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	0	0	1	What is a key factor for the ESA ?
is	AUX	0	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	0	1	2	What is a key factor for the ESA ?
a	DET	0	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	0	2	3	What is a key factor for the ESA ?
key	ADJ	0	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	0	3	4	What is a key factor for the ESA ?
factor	NOUN	0	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	1	4	5	What is a key factor for the ESA ?
for	ADP	0	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	0	5	6	What is a key factor for the ESA ?
the	DET	0	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	0	6	7	What is a key factor for the ESA ?
ESA	PROPN	1	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	0	7	8	What is a key factor for the ESA ?
?	PUNCT	0	5a848a6d7cf838001a46a8eb	5a848a6d7cf838001a46a8eb	1	0	8		What is a key factor for the ESA ?
What	PRON	0	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	0	0	10	What is a key issue for the ESA ?
is	AUX	0	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	0	1	11	What is a key issue for the ESA ?
a	DET	0	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	0	2	12	What is a key issue for the ESA ?
key	ADJ	0	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	0	3	13	What is a key issue for the ESA ?
issue	NOUN	0	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	1	4	14	What is a key issue for the ESA ?
for	ADP	0	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	0	5	15	What is a key issue for the ESA ?
the	DET	0	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	0	6	16	What is a key issue for the ESA ?
ESA	PROPN	1	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	0	7	17	What is a key issue for the ESA ?
?	PUNCT	0	5a848a6d7cf838001a46a8eb_pert_0	5a848a6d7cf838001a46a8eb	0	0	8		What is a key issue for the ESA ?
What	PRON	0	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	0	0	19	What is a key element for the ESA ?
is	AUX	0	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	0	1	20	What is a key element for the ESA ?
a	DET	0	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	0	2	21	What is a key element for the ESA ?
key	ADJ	0	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	0	3	22	What is a key element for the ESA ?
element	NOUN	0	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	1	4	23	What is a key element for the ESA ?
for	ADP	0	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	0	5	24	What is a key element for the ESA ?
the	DET	0	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	0	6	25	What is a key element for the ESA ?
ESA	PROPN	1	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	0	7	26	What is a key element for the ESA ?
?	PUNCT	0	5a848a6d7cf838001a46a8eb_pert_1	5a848a6d7cf838001a46a8eb	0	0	8		What is a key element for the ESA ?
What	PRON	0	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	0	0	28	What is a key word for the ESA ?
is	AUX	0	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	0	1	29	What is a key word for the ESA ?
a	DET	0	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	0	2	30	What is a key word for the ESA ?
key	ADJ	0	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	0	3	31	What is a key word for the ESA ?
word	NOUN	0	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	1	4	32	What is a key word for the ESA ?
for	ADP	0	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	0	5	33	What is a key word for the ESA ?
the	DET	0	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	0	6	34	What is a key word for the ESA ?
ESA	PROPN	1	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	0	7	35	What is a key word for the ESA ?
?	PUNCT	0	5a848a6d7cf838001a46a8eb_pert_2	5a848a6d7cf838001a46a8eb	0	0	8		What is a key word for the ESA ?
What	PRON	0	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	0	0	37	What is a key component for the ESA ?
is	AUX	0	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	0	1	38	What is a key component for the ESA ?
a	DET	0	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	0	2	39	What is a key component for the ESA ?
key	ADJ	0	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	0	3	40	What is a key component for the ESA ?
component	NOUN	0	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	1	4	41	What is a key component for the ESA ?
for	ADP	0	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	0	5	42	What is a key component for the ESA ?
the	DET	0	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	0	6	43	What is a key component for the ESA ?
ESA	PROPN	1	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	0	7	44	What is a key component for the ESA ?
?	PUNCT	0	5a848a6d7cf838001a46a8eb_pert_3	5a848a6d7cf838001a46a8eb	0	0	8		What is a key component for the ESA ?
What	PRON	0	5a848a6d7cf838001a46a8eb_pert_4	5a848a6d7cf838001a46a8eb	0	0	0	46	What is a key factor for the ESA ?
is	AUX	0	5a848a6d7cf838001a46a8eb_pert_4	5a848a6d7cf838001a46a8eb	0	0	1	47	What is a key factor for the ESA ?
a	DET	0	5a848a6d7cf838001a46a8eb_pert_4	5a848a6d7cf838001a46a8eb	0	0	2	48	What is a key factor for the ESA ?
key	ADJ	0	5a848a6d7cf838001a46a8eb_pert_4	5a848a6d7cf838001a46a8eb	0	0	3	49	What is a key factor for the ESA ?
factor	NOUN	0	5a848a6d7cf838001a46a8eb_pert_4	5a848a6d7cf838001a46a8eb	0	1	4	50	What is a key factor for the ESA ?
