Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentence
Where	SCONJ	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	0	1	Where are tornadoes most common on Earth ?
are	AUX	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	1	2	Where are tornadoes most common on Earth ?
tornadoes	NOUN	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	1	2	3	Where are tornadoes most common on Earth ?
most	ADV	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	3	4	Where are tornadoes most common on Earth ?
common	ADJ	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	4	5	Where are tornadoes most common on Earth ?
on	ADP	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	5	6	Where are tornadoes most common on Earth ?
Earth	PROPN	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	6	7	Where are tornadoes most common on Earth ?
?	PUNCT	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	7		Where are tornadoes most common on Earth ?
Where	SCONJ	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	0	9	Where are the most common on Earth ?
are	AUX	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	1	10	Where are the most common on Earth ?
the	DET	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	1	2	11	Where are the most common on Earth ?
most	ADV	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	3	12	Where are the most common on Earth ?
common	ADJ	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	4	13	Where are the most common on Earth ?
on	ADP	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	5	14	Where are the most common on Earth ?
Earth	PROPN	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	6	15	Where are the most common on Earth ?
