Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
Como	SCONJ	0	4p0	4p0	1	0	0	0	1	Como empilhar e desempilhar elementos em uma fila ?
empilhar	VERB	1	4p0	4p0	1	0	1	0	1	Como empilhar e desempilhar elementos em uma fila ?
e	CCONJ	0	4p0	4p0	1	0	2	0	1	Como empilhar e desempilhar elementos em uma fila ?
desempilhar	VERB	1	4p0	4p0	1	1	3	0	1	Como empilhar e desempilhar elementos em uma fila ?
elementos	NOUN	0	4p0	4p0	1	0	4	0	1	Como empilhar e desempilhar elementos em uma fila ?
em	ADP	0	4p0	4p0	1	0	5	0	1	Como empilhar e desempilhar elementos em uma fila ?
uma	DET	0	4p0	4p0	1	0	6	0	1	Como empilhar e desempilhar elementos em uma fila ?
fila	NOUN	1	4p0	4p0	1	0	7	0	1	Como empilhar e desempilhar elementos em uma fila ?
?	PUNCT	0	4p0	4p0	1	0	8	0	1	Como empilhar e desempilhar elementos em uma fila ?
0	['SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 1, 0, 1, 0, 0, 0, 1, 0]	4p0	4p0	1	-1	-1	1	3	Como empilhar e desempilhar elementos em uma fila ?
Como	SCONJ	0	4p0_pert_0	4p0	0	0	0	0	0	Como empilhar e organizar elementos em uma fila ?
empilhar	VERB	1	4p0_pert_0	4p0	0	0	1	0	0	Como empilhar e organizar elementos em uma fila ?
e	CCONJ	0	4p0_pert_0	4p0	0	0	2	0	0	Como empilhar e organizar elementos em uma fila ?
organizar	VERB	0	4p0_pert_0	4p0	0	1	3	0	0	Como empilhar e organizar elementos em uma fila ?
elementos	NOUN	0	4p0_pert_0	4p0	0	0	4	0	0	Como empilhar e organizar elementos em uma fila ?
em	ADP	0	4p0_pert_0	4p0	0	0	5	0	0	Como empilhar e organizar elementos em uma fila ?
uma	DET	0	4p0_pert_0	4p0	0	0	6	0	0	Como empilhar e organizar elementos em uma fila ?
fila	NOUN	1	4p0_pert_0	4p0	0	0	7	0	0	Como empilhar e organizar elementos em uma fila ?
?	PUNCT	0	4p0_pert_0	4p0	0	0	8	0	0	Como empilhar e organizar elementos em uma fila ?
1	['SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 1, 0]	4p0_pert_0	4p0	0	-1	-1	1	2	Como empilhar e organizar elementos em uma fila ?
Como	SCONJ	0	4p0_pert_1	4p0	0	0	0	0	0	Como empilhar e colocar elementos em uma fila ?
empilhar	VERB	1	4p0_pert_1	4p0	0	0	1	0	0	Como empilhar e colocar elementos em uma fila ?
e	CCONJ	0	4p0_pert_1	4p0	0	0	2	0	0	Como empilhar e colocar elementos em uma fila ?
colocar	VERB	0	4p0_pert_1	4p0	0	1	3	0	0	Como empilhar e colocar elementos em uma fila ?
elementos	NOUN	0	4p0_pert_1	4p0	0	0	4	0	0	Como empilhar e colocar elementos em uma fila ?
em	ADP	0	4p0_pert_1	4p0	0	0	5	0	0	Como empilhar e colocar elementos em uma fila ?
uma	DET	0	4p0_pert_1	4p0	0	0	6	0	0	Como empilhar e colocar elementos em uma fila ?
fila	NOUN	1	4p0_pert_1	4p0	0	0	7	0	0	Como empilhar e colocar elementos em uma fila ?
?	PUNCT	0	4p0_pert_1	4p0	0	0	8	0	0	Como empilhar e colocar elementos em uma fila ?
2	['SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 1, 0]	4p0_pert_1	4p0	0	-1	-1	1	2	Como empilhar e colocar elementos em uma fila ?
Como	SCONJ	0	4p0_pert_2	4p0	0	0	0	0	0	Como empilhar e distribuir elementos em uma fila ?
empilhar	VERB	1	4p0_pert_2	4p0	0	0	1	0	0	Como empilhar e distribuir elementos em uma fila ?
e	CCONJ	0	4p0_pert_2	4p0	0	0	2	0	0	Como empilhar e distribuir elementos em uma fila ?
distribuir	VERB	0	4p0_pert_2	4p0	0	1	3	0	0	Como empilhar e distribuir elementos em uma fila ?
elementos	NOUN	0	4p0_pert_2	4p0	0	0	4	0	0	Como empilhar e distribuir elementos em uma fila ?
em	ADP	0	4p0_pert_2	4p0	0	0	5	0	0	Como empilhar e distribuir elementos em uma fila ?
uma	DET	0	4p0_pert_2	4p0	0	0	6	0	0	Como empilhar e distribuir elementos em uma fila ?
fila	NOUN	1	4p0_pert_2	4p0	0	0	7	0	0	Como empilhar e distribuir elementos em uma fila ?
?	PUNCT	0	4p0_pert_2	4p0	0	0	8	0	0	Como empilhar e distribuir elementos em uma fila ?
3	['SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 1, 0]	4p0_pert_2	4p0	0	-1	-1	1	2	Como empilhar e distribuir elementos em uma fila ?
